"","CountryCode","Year","Polity2","RegQual","AOSISMembers","EU","distance","OPECDummy","logpop","logCO2percap","logtourarriv","logGDPpercap","NoExec","RightExec","LeftExec","UNSC","G20","EnvMinistry","GEFCouncil","IO","EnvTreaty","logbiodiversity","logBilaterialAidRecip","logBilaterialAidDonor","envcpia.2","WBEB","Annex1Dummy","CDMDonor","CDMHost","GEFFundsDummy","FoodProd","logNatDiaster","logGEFDon"
"1","AFG",1995,0,-1.79103376600423,0,0,5226.514,0,7.245168872,-1.677780705,4.42223842012238,1.97209262478213,0,0,1,0,0,0,0,31,24,0.546448399,6.78301732633286,1.17385537712076,4,0,0,0,0,0,0.0492797,0,0
"2","AFG",1996,-7,-2.125582695,0,0,5247.043,0,7.265178963,-1.677780705,4.18446218535473,1.88994899397045,0,0,1,0,0,0,0,32,24,0.546448399,4.59367279311823,3.56993462516406,5,0,0,0,0,0,0.0593691,0,0
"3","AFG",1997,-7,-1.15167560115775,0,0,6278.016,0,7.279238506,-1.958607315,5.72995171934658,2.91239857542191,0,1,1,0,0,0,0,32,24,0.546448399,5.8472042763353,4.60333359317613,8,0,0,0,0,0,0.071876,0,0
"4","AFG",1998,-7,-2.155505896,0,0,15298.5,0,7.289964139,-1.958607315,4.77314676156423,2.19390013206256,0,0,1,0,0,0,0,32,24,0.546448399,5.790002156,2.96755449844464,6,0,0,0,0,0,0.0631809,0,0
"5","AFG",1999,-7,-2.0520448063051,0,0,5226.514,0,7.300749155,-1.958607315,5.19072396720434,2.90232501558565,1,0,1,0,0,0,0,33,24,0.546448399,4.395216741,4.33398509358067,5,0,0,0,0,0,-0.0118098,0,0
"6","AFG",2000,-7,-2.186197758,0,0,5361.4,0,7.313769388,-1.958607315,4.66157960353239,2.11136264032264,0,1,1,0,0,0,0,33,24,0.546448399,4.43289644044115,5.02769885010273,5,0,0,0,0,0,-0.175921,6.411619874,0
"7","AFG",2001,2,-2.03776934911901,0,0,6811.536,0,7.329352759,-1.958607315,4.60521636870045,2.061876424,0,1,0,0,0,0,0,33,24,0.546448399,5.7353141,4.578350838689,6,0,0,0,0,0,-0.1062455,0,0
"8","AFG",2002,-2,-1.873433828,0,0,1003.893,0,7.346407864,-1.958607315,4.37686957033553,2.26941788,1,0,0,0,0,0,0,32,24,0.546448399,6.630089778,1.69924725503074,5,0,0,0,0,0,0.2161145,0,0
"9","AFG",2003,-7,-1.48789227,0,0,4935.994,0,7.363915354,-1.958607315,5.39587047383044,2.297295992,1,0,0,0,0,0,0,34,24,0.546448399,5.911354065,3.28897000873369,6,0,0,0,0,0,0.0354457,0,0
"10","AFG",2004,3,-1.502772093,0,0,15298.5,0,7.380549172,-1.958607315,4.99759369402901,2.342533782,1,0,0,0,0,0,0,35,24,0.546448399,5.865282719,4.7217991320499,5,0,0,0,0,1,-0.0296931,0,0
"11","AFG",2005,-6,-1.646192193,0,0,10768.89,0,7.395516061,-1.958607315,4.64892148323811,2.402102931,1,0,0,0,0,0,0,40,24,0.546448399,5.808303303,4.85943131578498,8,0,0,0,0,0,0.1038156,0,0
"12","AFG",2006,6,-1.674109697,0,0,5221.581,0,7.408770329,-1.677780705,5.27753191016966,2.439886614,1,0,0,0,0,0,0,41,24,0.546448399,6.976721547,3.59971430165175,6,0,0,0,0,0,-0.0848088,6.27875383,0
"13","AFG",2007,-7,-1.680980802,0,0,6000.786,0,7.420768143,-1.677780705,4.8145992816461,2.572396512,1,0,0,0,0,0,0,39,31.4036962587449,0.546448399,6.861135052,5.61783971143875,6,0,0,0,0,0,0.1122537,0,0
"14","AFG",2008,-6,-1.601079226,0,0,4267.977,0,7.431881344,-1.387216143,4.94745359105251,2.576315423,1,0,0,0,0,0,0,41,41.6896256316166,0.546448399,6.452497573,4.5493028044703,6,0,0,0,0,0,-0.080729,5.447159582,0
"15","AFG",2009,-3,-1.6701051,0,0,4857.692,0,7.44260811,-1.148741651,5.68188639627414,2.653848037,1,0,0,0,0,1,0,42,41.3733165189068,0.546448399,7.376500668,3.84009152618788,6,0,0,0,0,0,0.1527052,0,0
"16","AFG",2010,-10,-1.529258132,0,0,13906.07,0,7.45328488,-1.091514981,4.68086606903441,2.74911626,1,0,0,0,0,1,0,44,42.008812059132,0.546448399,7.65399218,7.12003728709406,6,0,0,0,0,1,-0.0070891,0,0
"17","AFG",2011,3,-1.539812922,0,0,9273.133,0,7.463974766,-0.954677021,5.56971207253972,2.789611322,1,0,0,0,0,0,0,44,57.5593710273806,0.546448399,7.294231019,5.19864481098291,7,0,0,0,0,0,-0.0452352,6.243038297,0
"18","AFG",2012,-8,-1.210026264,0,0,1987.925,0,7.474573696,-3,6.0029429971886,2.837953638,1,0,0,0,0,0,0,46,48.6986643762294,0.546448399,6.955472204,5.41960396222546,7,0,0,0,0,1,0.0974197,0,0
"19","AFG",2013,-4,-1.212253332,0,0,4267.977,0,7.501493175,-3,5.14440936877883,2.822693752,1,0,0,0,0,0,0,47,44.3286402983013,0.546448399,6.720976667,6.09978812062296,7,0,0,0,0,1,-0.0231261,0,0
"20","AFG",2014,-1,-1.118182182,0,0,15811.19,0,7.515317644,-3,5.9733753043775,2.823664439,1,0,0,0,0,0,0,48.8335140935992,49.754098148118,0.546448399,7.73967425072291,7.62059944793665,7,0,0,0,0,1,0.0374227,0,1.05647507919163
"21","ALB",1995,5,0.0556969720426366,0,0,1493.096,0,6.526062326,-0.742321425,5.78523609239011,2.881133114,0,1,0,0,0,1,0,75,34,-0.719114896,4.37676369361046,5.99994078037082,9,0,0,0,0,0,0.0764527,0,0
"22","ALB",1996,0,-0.419196784,0,0,1167.984,0,6.523882065,-0.742321425,5.19465456182163,2.978240835,0,1,0,0,0,1,0,38,35,-0.719114896,4.08452403730671,5.5960334815389,8,0,0,0,0,1,0.0104432,0,0
"23","ALB",1997,5,-0.581265023873199,0,0,9501.873,0,6.522615961,-0.850780887,4.91204665672312,2.843603088,0,1,0,0,0,1,0,58,35,-0.719114896,6.12156448134199,7.36562056732044,8,0,0,0,0,1,-0.0581026,0,0
"24","ALB",1998,5,-0.18657735,0,0,11632.19,0,6.521851206,-0.793174124,5.71863212896405,2.940463517,0,0,1,0,0,1,0,55,37,-0.719114896,4.986918824217,5.84860401413465,9,0,0,0,0,0,0.0314312,0,0
"25","ALB",1999,5,-0.410148403822753,0,0,1493.096,0,6.520868659,-0.583359493,5.46569860991675,3.043261476,0,0,1,0,0,1,0,42,41,-0.719114896,4.404583884,5.45057032119363,9,0,0,0,0,0,-0.0258193,0,0
"26","ALB",2000,5,-0.262941539,0,0,1664.815,0,6.519164631,-0.567030709,5.05438387088336,3.076810132,0,0,1,0,0,1,0,45,41,-0.719114896,4.71317509,5.99113611748783,5,0,0,0,0,1,0.0504107,0,0
"27","ALB",2001,5,0.64791232471748,0,0,2473.619,0,6.516678661,-0.536107011,5.27345641395567,3.12608565,0,0,1,0,0,1,0,54,43,-0.719114896,4.490930209,6.40054752365646,9,0,0,0,0,0,0.0346727,0,0
"28","ALB",2002,7,-0.250540912,0,0,5322.44,0,6.513696392,-0.480172006,5.18852825107892,3.163855228,0,0,1,0,0,1,0,79,43,-0.719114896,5.54141632,7.73847437757775,7,0,0,0,0,1,0.0045705,0,0
"29","ALB",2003,7,-0.468515098,0,0,611.7626,0,6.510462567,-0.419075024,6.23101149571607,3.26940841,0,0,1,0,0,1,0,43,43,-0.719114896,7.324517234,6.94858075586479,8,0,0,0,0,1,0.0570655,0,0
