"";"titulo";"nome";"desc";"cargo_deleg";"org";"org_detalhe";"cargo_org";"conf";"pais";"nline";"fonte";"id_org_dupla"
"31";"Sra";"Rosaura Nascimento de Morais";"MMA";NA;"MMA";NA;NA;"POPS, COP02";"Brasil";7;"Resposta via LAI";3260
"32";"Ministro";"Antônio Fernando Cruz de Mello";"Assessor Especial para Assuntos Internacionais do Ministério do Meio Ambiente";NA;"MMA";"Assessoria para Assuntos Internacionais";"Ministro; Assessor Especial";"CBD, COP06";"Brasil";2;"Telegrama via LAI";3261
"33";"Senhor";"Bráulio Ferreira de Souza Dias";"Diretor do Programa Nacional de Conservação da Biodiversidade - Secretaria de Biodiversidade e Florestas/Ministério do Meio Ambiente";NA;"MMA";"Secretaria de Biodiversidade e Florestas, Programa de Conservação da Biodiversidade";"Diretor";"CBD, COP06";"Brasil";5;"Telegrama via LAI";3262
"34";"Senhor";"Lídio Coradin";"Secretaria de Biodiversidade e Florestas/Ministério do Meio Ambiente";NA;"MMA";"Secretaria de Biodiversidade e Florestas";NA;"CBD, COP06";"Brasil";6;"Telegrama via LAI";3263
"35";"Mr.";"José Sarney Filho";"Ministro de Estado
Ministério do Meio Ambiente";NA;"MMA";NA;"Ministro";"ICCD, COP04";"Brasil";1;"Lista ONU";3260
"36";"Mr.";"Antonio Fernando Cruz de Mello";"Assessor Especial para Assuntos Internacionais
Ministério do Meio Ambiente";NA;"MMA";"Assessoria para Assuntos Internacionais";"Assessor especial";"ICCD, COP04";"Brasil";3;"Lista ONU";3261
"37";"Mr.";"Roberto Moreira Coimbra";"Gerente de Projeto de Planos de Recursos Hídricos
Ministério do Meio Ambiente";NA;"MMA";"Planos de Recursos Hídricos";"Gerente de projetos";"ICCD, COP04";"Brasil";7;"Lista ONU";3264
"38";"H.E. Mr.";"Claudio Langone";"Vice-Minister
Ministry of Environment";NA;"MMA";NA;"Vice ministro";"ICCD, COP06";"Brasil";1;"Lista ONU";3260
"39";"Sr.";"Joao Bosco Senra";"Secretario de Recursos Hidráulicos
Ministerio del Medio Ambiente";NA;"MMA";"Secretaria de Recursos Hídricos";NA;"ICCD, COP06";"Brasil";4;"Lista ONU";3265
"40";"Sra.";"Raquel Breda dos Santos";"Secretario de Recursos Hidráulicos
Ministerio del Medio Ambiente";NA;"MMA";"Secretaria de Recursos Hídricos";NA;"ICCD, COP06";"Brasil";5;"Lista ONU";3265
"41";"Sr.";"José Roberto de Lima";"Asesor Técnico
Secretario de Recursos Hidráulicos
Ministerio del Medio Ambiente";NA;"MMA";"Secretaria de Recursos Hídricos";"Assessor técnico";"ICCD, COP06";"Brasil";7;"Lista ONU";3265
"42";"Excmo. Sr.";"Claudio Langone";"Vice-Ministro
Ministerio del Medio Ambiente";NA;"MMA";NA;"Vice ministro";"ICCD, COP07";"Brasil";2;"Lista ONU";3260
"43";"Sr.";"Joao Bosco Senra";"Secretario de Recursos Hidráulicos
Ministerio del Medio Ambiente";NA;"MMA";"Secretaria de Recursos Hídricos";NA;"ICCD, COP07";"Brasil";3;"Lista ONU";3265
"44";"Mr.";"Fernando Lyrio";"International Advisor
Ministry of Environment";NA;"MMA";"Assessoria internacional";"Assessor";"ICCD, COP07";"Brasil";4;"Lista ONU";3266
"45";"Sr.";"José Roberto de Lima";"Coordenador Técnico
Secretario de Recursos Hidráulicos
Ministerio del Medio Ambiente";NA;"MMA";"Secretaria de Recursos Hídricos";"Coordenador Técnico";"ICCD, COP07";"Brasil";7;"Lista ONU";3265
"46";"Sr.";"Ruth Quadros";"Ministerio del Medio Ambiente";NA;"MMA";NA;NA;"ICCD, COP07";"Brasil";8;"Lista ONU";3260
"47";"H.E. Mr.";"Carlos Minc Baumfeld";"Minister
Ministry of Environment";NA;"MMA";NA;"Ministro";"ICCD, COP09";"Brasil";1;"Lista ONU";3260
