org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
ICMBio;Diretoria de Pesquisa, Avaliação e Monitoramento de Biodiversidade;2854;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333
ICMBio;Diretoria de Ações Socioambientais e Consolidação Territorial em Unidades de Conservação;2855;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333
ICMBio;Diretoria de Criação e Manejo de Unidades de Conservação;2856;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333
ICMBio;Diretoria de Planejamento, Administração e Logística;2857;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333
ICMBio;Coordenação Geral de Uso Público e Negócios;2859;NA;ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade;333
ICONE - Instituto de Estudo do Comércio e Negociações Internacionais;NA;2797;NA;ICONE - Instituto de Estudos do Comércio e Negociações Internacionais;334
Indústria Brasileira de Árvores;NA;2422;NA;Indústria Brasileira de Árvores;345
Indústria Brasileira de Árvores;Florestas;2927;NA;Indústria Brasileira de Árvores;345
Instituto Nacional da Propriedade Industrial;NA;2747;NA;INPI - Instituto Nacional da Propriedade Industrial;354
Instituto Ecologica;NA;1500;NA;Instituto Ecológica;368
IPEA;NA;2788;NA;IPEA - Instituto de Pesquisa Econômica Aplicada;394
Instituto Pró-Sustentabilidade;NA;2812;NA;IPSUS - Instituto Pró-Sustentabilidade;396
Itaipu Binacional;"Superintendência de Meio Ambiente; Diretoria de Coordenação e Meio Ambiente";2858;NA;Itaipu Binacional;400
Marinha do Brasil;NA;2834;NA;Marinha do Brasil;416
Marinha do Brasil;"Comissão Interministerial para os Recursos do Mar (CIRM); Divisão de recursos humanos";2862;NA;Marinha do Brasil;416
Marinha do Brasil;Divisão para questões marítimas e ambientais;2913;NA;Marinha do Brasil;416
Marinha do Brasil;Diretoria de Hidrografia e Navegação;2974;NA;Marinha do Brasil;416
Marinha do Brasil;"Diretoria de Hidrografia e Navegação; GOOS Brazil";2976;NA;Marinha do Brasil;416
Marinha do Brasil;Secretaria Geral da Marinha;2978;NA;Marinha do Brasil;416
Marinha do Brasil;"Relações Internacionais; Diretoria de Hidrografia e Navegação";2980;NA;Marinha do Brasil;416
Marinha do Brasil;"Diretoria de Hidrografia e Navegação; Assessoria Internacional";2983;NA;Marinha do Brasil;416
Marinha do Brasil;Estado Maior da Armada;2991;NA;Marinha do Brasil;416
Marinha do Brasil;SECIRM;2992;NA;Marinha do Brasil;416
Marinha do Brasil;Adido Naval do Brasil na China;3006;NA;Marinha do Brasil;416
Marinha do Brasil;"Diretoria de Portos e Costas; CCA-IMO";3016;NA;Marinha do Brasil;416
Marinha do Brasil;Diretoria de Portos e Costas;3018;NA;Marinha do Brasil;416
Marinha do Brasil;"Diretoria de Portos e Costas; CCA-IMO; MEPC";3020;NA;Marinha do Brasil;416
Marinha do Brasil;CCA-IMO;3021;NA;Marinha do Brasil;416
Ministério da Agricultura, Pecuária e Abastecimento;Secretaria de Defesa Agropecuária;2770;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
