org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
Ministério do Meio Ambiente;Gestão Integrada Marítima e Costeira;3014;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Programa de Gerenciamento Ambiental Territorial;3015;NA;Ministério do Meio Ambiente;442
Ministério dos Transportes;NA;3008;NA;Ministério dos Transportes;447
Ministério Público;São Paulo;2919;NA;Ministério Público;449
Cidade de Curitiba;NA;2791;NA;Município de Curitiba;466
Cidade de Manaus;NA;2792;NA;Município de Manaus;476
City Hall of São Paulo;NA;794;NA;Município de São Paulo;489
Natura;Inovação e Tecnologia de Produtos;2889;NA;Natura;496
Painel Brasileiro de Mudanças Climáticas;NA;2227;NA;PBMC - Painel Brasileiro de Mudanças Climáticas;513
Painel Brasileiro de Mudanças Climáticas;Comitê Científico;2934;NA;PBMC - Painel Brasileiro de Mudanças Climáticas;513
Petrobrás;NA;2796;NA;Petrobrás;517
Petrobrás;Gerência de biodiversidade e recursos hídricos;2921;NA;Petrobrás;517
Petrobrás;Biodiversidade;2924;NA;Petrobrás;517
Petrobrás;Arquiteto Naval;3009;NA;Petrobrás;517
Presidência da República;NA;2778;NA;Presidência da República;523
Representação Permanente do Brasil na IMO;NA;3005;NA;Representação brasileira para a International Maritime Organization;542
Representação Permanente do Brasil na IMO;Marinha Mercante;3010;NA;Representação brasileira para a International Maritime Organization;542
Representação Permanente do Brasil na IMO;Conselheiro para Assuntos Marítimos;3013;NA;Representação brasileira para a International Maritime Organization;542
SECOM;NA;2032;NA;Secretaria de Comunicação Social da Presidência;554
Secretaria de Comunicação da Presidência da República;NA;2830;NA;Secretaria de Comunicação Social da Presidência;554
NA;NA;24;NA;Sem informação;565
Senado Federal;NA;2748;NA;Senado Federal;568
Senado Federal;Estado do Acre;2997;NA;Senado Federal;568
Serviço Florestal Brasileiro;NA;3002;NA;SFB - Serviço Florestal Brasileiro;572
Superior Tribunal de Justiça;NA;2786;NA;STJ - Superior Tribunal de Justiça;585
Tribunal de Contas da União;NA;2787;NA;TCU - Tribunal de Contas da União;594
Terra de Direitos;NA;98;NA;Terra de Direitos;596
Tribunal Regional Federal;3ª Seção do TRF 1;2842;NA;TRF - Tribunal Regional Federal;601
Tribunal Regional Federal;TRF 1;2865;NA;TRF - Tribunal Regional Federal;601
Universidade Católica de Brasília;Curso de direito;2876;NA;Universidade Católica de Brasília;614
Universidade de São Paulo;Departamento de Gestão Administração;2916;NA;Universidade de São Paulo;617
Universidade de São Paulo;NA;2917;NA;Universidade de São Paulo;617
Unicamp;NA;1621;NA;Universidade Estadual de Campinas;621
Universidade de Campinas;NA;2752;NA;Universidade Estadual de Campinas;621
Universidade Estadual do Rio de Janeiro;Engenharia Ambiental e Sanitária;2875;NA;Universidade Estadual do Rio de Janeiro;625
Universidade Federal do Ceará;NA;2877;NA;Universidade Federal do Ceará;640
Universidade Federal do Pará;Núcleo de Altos Estudos Amazônicos (NAEA);2874;NA;Universidade Federal do Pará;644
Universidade Federal do Rio de Janeiro;NA;2794;NA;Universidade Federal do Rio de Janeiro;646
Universidade Federal do Rio de Janeiro;Bio Bureau Biotecnologia (empresa);2938;NA;Universidade Federal do Rio de Janeiro;646
Universidade Federal Rural do Rio de Janeiro;NA;2795;NA;Universidade Federal Rural do Rio de Janeiro;651
Via Campesina Brasil;NA;2818;NA;Via Campesina;657
Via Campesina;NA;2897;NA;Via Campesina;657
Votorantim Industrial;NA;2142;NA;Votorantim;664
Votorantim Industrial;Gerência Global de Meio Ambiente;2935;NA;Votorantim;664
Reservas Votorantim;NA;2923;Reservas Votorantim;Votorantim;664
WWF;NA;1745;NA;WWF;671
WWF - Brazil;NA;2152;NA;WWF;671
WWF - Brazil;Superintendência de Conservação;2809;NA;WWF;671
Ministério da Marinha;NA;3012;NA;Ministério da Marinha;701
ABBI - Associação Brasileira de Biotecnologia Industrial;NA;2884;NA;ABBI - Associação Brasileira de Biotecnologia Industrial;709
Associação Brasileira de Sementes e Mudas (ABRASEM);NA;2836;NA;ABRASEM - Associação Brasileira de Sementes e Mudas;710
AgroBio;NA;2933;NA;AGROBIO - Associação das Empresas de Biotecnologia na Agricultura e Agroindústria;711
Amyris Brasil S.A.;NA;2800;NA;Amyris Brasil S.A.;712
Associação Nacional da Agricultura Camponesa;NA;2929;NA;Associação Nacional da Agricultura Camponesa;713
Associação Nacional da Agricultura Camponesa (ANAC);NA;2817;NA;Associação Nacional da Agricultura Camponesa;713
Articulação Plantas Medicinais do Cerrado (PACARI);NA;2821;NA;Articulação Pacari - Plantas Medicinais do Cerrado;714
Kanindé;NA;2814;NA;Associação de Defesa Etnoambiental Kanindé;715
Beraca Sabará Químicos e Ingredientes S.A.;NA;2813;NA;Beraca Sabará Químicos e Ingredientes S.A.;716
Beraca Sabará Químicos e Ingredientes S.A.;Coordenação de sustentabilidade;2922;NA;Beraca Sabará Químicos e Ingredientes S.A.;716
Sabará Químicos e Ingredientes SA;Sustentabilidade;2928;NA;Beraca Sabará Químicos e Ingredientes S.A.;716
CDN Comunicação Corporativa;NA;2806;NA;CDN Comunicação Corporativa;717
Cooperativa Ecológica das Mulheres Extrativistas do Marajó;NA;2816;NA;CEMEM - Cooperativa Ecológica das Mulheres Extrativistas do Marajó;718
Conselho de Informações sobre Biotecnologia (CIB);NA;2801;NA;CIB - Conselho de Informações sobre Biotecnologia;719
Conselho Nacional dos Povos e Comunidades Tradicionais;NA;2930;NA;CNPCT - Conselho Nacional dos Povos e Comunidades Tradicionais;720
Conselho Nacional da Mulher Indígena (CONAMI);NA;2822;NA;CONAMI - Conselho Nacional da Mulher Indígena;721
CTNBio;NA;2746;NA;CTNBio - Comissão Técnica Nacional de Biossegurança;722
Divers for Sharks;NA;2899;NA;Divers for Sharks;723
Fibria;NA;2802;NA;Fibria;724
Fleishman Hillard Public Relations;NA;2805;NA;FleishmanHillard Public Relations;725
Fundação Roberto Marinho;NA;2808;NA;Fundação Roberto Marinho;726
GIZ Brazil;NA;2893;NA;GIZ - Deutsche Gesellschaft für Internationale Zusammenarbeit;727
Greenpeace do Brasil;NA;2758;NA;Greenpeace;728
Grupo Centroflora;NA;2807;NA;Grupo Centroflora;729
GSS Sustentabilidade e Bioinovação;NA;2886;NA;GSS Sustentabilidade e Bioinovação;730
GSS Sustentabilidade e Bioinovação;Biodiversidade;2887;NA;GSS Sustentabilidade e Bioinovação;730
Instituto Augusto Carneiro;Divers for Sharks;2898;NA;Instituto Augusto Carneiro;731
Fundação Jardim Botânico do Rio de Janeiro;NA;2745;NA;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;732
Jardim Botânico do Rio de Janeiro;NA;2825;NA;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro;732
Instituto Life;NA;2803;NA;Instituto LIFE;733
Instituto Ribeirão Preto 2030;NA;2920;NA;Instituto Ribeirão Preto 2030;734
ITTO;NA;2999;NA;ITTO - International Tropical Timber Organization;735
L'Oréal;NA;2888;NA;L'Oréal;736
Movimento Empresarial para a Biodiversidade-Brasil (MEBB);NA;2838;NA;MEBB - Movimento Empresarial pela Biodiversidade - Brasil;737
Cidade de São José do Rio Preto;Secretaria de Meio Ambiente;2918;NA;Município de São José do Rio Preto;738
Comunidades de Fundo de Pasto;NA;2819;NA;Comunidades de Fundo de Pasto;739
Extrativistas da Amazônia;NA;2820;NA;Comunidades Extrativistas da Amazônia;740
Fórum de Povos e Comunidades Tradicionais;NA;2815;NA;Fórum de Povos e Comunidades Tradicionais;741
Marinha do Brasil;Instituto de Estudos do Mar Almirante Paulo Moreira;2982;NA;Instituto de Estudos do Mar Almirante Paulo Moreira;742
Ponto focal brasileiro para CBD;NA;2939;NA;Ponto focal brasileiro para CDB;743
Povos indígenas e comunidades locais;NA;2839;NA;Povos indígenas e comunidades locais;744
Novozymes Latin America;Gerência de Comunicações e Relações Públicas;2890;NA;Novozymes Latin America;745
Novozymes Latin America;NA;2891;NA;Novozymes Latin America;745
Science Politique;NA;2824;NA;SciencesPo;746
Universidade Federal de Ouro Preto;NA;2793;NA;Universidade Federal de Ouro Preto;747
VBIO - Plataforma brasileira de biodiversidade;NA;2892;NA;VBIO - Plataforma Brasileira de Biodiversidade;748
WCS - Wildlife Conservation Society;Brasil;2900;NA;WCS - Wildlife Conservation Society;749
