"";"titulo";"nome";"desc";"cargo_deleg";"org";"org_detalhe";"cargo_org";"conf";"pais";"nline";"fonte";"id_org_dupla"
"1";"H.E. Mr.";"José Israel Vargas";"Minister of Science and Technology
Ministry of Science and Technology";NA;"Ministry of Science and Technology";NA;"Minister";"UNFCCC, COP02";"Brasil";1;"Lista ONU";71
"2";"H.E. Mr.";"Celso Lafer";"Ambassador, Permanent Representative
Permanent Mission of Brazil to the United Nations Office at Geneva";NA;"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations Office in Geneva";"Permanent Representative";"UNFCCC, COP02";"Brasil";2;"Lista ONU";159
"3";"Mr.";"Antonio Augusto Dayrell de Lima";"Ambassador, Director-General of the Department for Special Issues
Ministry of External Relations";NA;"Ministry of Foreign Affairs";"Department for Special Issues";"Ambassador, Director-General of Department";"UNFCCC, COP02";"Brasil";3;"Lista ONU";3323
"4";"Mr.";"Luiz Gylvan Meira Filho";"President
Brazilian Space Agency";NA;"Brazilian Space Agency";NA;"President";"UNFCCC, COP02";"Brasil";4;"Lista ONU";1416
"5";"Mr.";"Guido Fernando Silva Soares";"Minister Counsellor
Permanent Mission of Brazil to the United Nations Office at Geneva";NA;"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations Office in Geneva";"Minister Counsellor";"UNFCCC, COP02";"Brasil";5;"Lista ONU";159
"6";"Mr.";"Demétrio Bueno Carvalho";"Second Secretary
Environment Division
Ministry of External Relations";NA;"Ministry of Foreign Affairs";"Environment Division";"Second Secretary";"UNFCCC, COP02";"Brasil";6;"Lista ONU";261
"7";"Mr.";"Luiz C. Gasser";"Second Secretary
Permanent Mission of Brazil to the United Nations Office at Geneva";NA;"Ministry of Foreign Affairs";"Permanent Mission of Brazil to the United Nations Office in Geneva";"Second Secretary";"UNFCCC, COP02";"Brasil";7;"Lista ONU";159
"8";"Mr.";"José D. Gonzalez Miguez";"Coordinator of Research and Global Change
Ministry of Science and Technology";NA;"Ministry of Science and Technology";"Coordination on Global Change Research";"Coordinator";"UNFCCC, COP02";"Brasil";8;"Lista ONU";1426
"9";"Mr.";"Heloiso Bueno Figueiredo";"Programme Manager
Department of Environmental management
Ministry of Environment, Water Resources and the Legal Amazon";NA;"Ministry of Environment, Water Resources and the Legal Amazon";"Department of Environmental Management";"Programme Manager";"UNFCCC, COP02";"Brasil";9;"Lista ONU";1427
