org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
Ministério do Meio Ambiente;Diretoria de Florestas;2882;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Assuntos de Articulação da Rio+10;2885;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Grupo de Trabalho Rio+10;2886;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Secretaria de Qualidade Ambiental;2887;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Projeto Agenda 21, Departamento de Articulação Institucional e Agenda 21;2888;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Assesoria Internacional;2889;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;"Assessoria de Comunicação Social; ECOM";2890;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;CONAMA - Conselho Nacional do Meio Ambiente;2898;Ministério do Meio Ambiente;NA;442
Ministry of the Environment;National Ozone Unit Office, Department of Monitoring, Finance and Support, Secretariat of Climate Change and Forestry;2967;Ministério do Meio Ambiente;NA;442
Ministry of the Environment;Department of Monitoring, Finance and Support, Secretariat of Climate Change and Forestry;2968;Ministério do Meio Ambiente;NA;442
Ministério do Trabalho e da Administração Federal;NA;2752;Ministério do Trabalho e Emprego;NA;445
Ministério dos Transportes e das Comunicações;NA;2750;Ministério dos Transportes;NA;447
Procuradoria Geral da República;4ª Câmara de Coordenação e Revisão (Meio Ambiente e Patrimônio Cultural);2879;Ministério Público Federal;NA;450
Cidade de Goiânia;Agenda 21 de Goiânia;2955;Município de Goiânia;NA;469
Cidade de São Paulo;Secretaria do Meio Ambiente;2912;Município de São Paulo;NA;489
Cidade do Rio de Janeiro;NA;2797;Município do Rio de Janeiro;NA;493
Cidade do Rio de Janeiro;Secretaria de Urbanismo;2907;Município do Rio de Janeiro;NA;493
OAB - Ordem dos Advogados do Brasil;Comissão do Meio Ambiente;2929;OAB - Ordem dos Advogados do Brasil;NA;502
Petrobrás;Coordenadoria de Desenvolvimento Sustentável;2957;Petrobrás;NA;517
Petrobrás;Gerência de Segurança;2958;Petrobrás;NA;517
Petrobrás;Gerência de Biotecnologia;2959;Petrobrás;NA;517
Departamento de Polícia Federal;NA;2828;Polícia Federal;NA;521
Presidência da República;Assessoria Diplomática;2818;Presidência da República;NA;523
Presidência da República;Assessoria de Assuntos Sociais;2841;Presidência da República;NA;523
Presidência da República;NA;2853;Presidência da República;NA;523
Presidência da República;Representação do Presidente da República para Assuntos Relativos à Rio+10;2860;Presidência da República;NA;523
Presidência da República;Cerimonial;2945;Presidência da República;NA;523
Presidência da República;Assessoria de Comunicação Social;2947;Presidência da República;NA;523
Presidência da República;Assessoria Especial;2951;Presidência da República;NA;523
Presidência da República;Diretoria de Telecomunicações;2952;Presidência da República;NA;523
Presidência da República;Setor de bagagem;2953;Presidência da República;NA;523
Secretaria de Assuntos Estratégicos da Presidência;NA;2762;Secretaria de Assuntos Estratégicos;NA;551
Secretaria de Ciência e Tecnologia da Presidência;NA;2760;Secretaria de Ciência e Tecnologia da Presidência;NA;553
"Ministério da Educação; Secretaria de Meio Ambiente da Presidência";NA;2745;Secretaria de Meio Ambiente da Presidência;NA;555
Secretaria de Meio Ambiente da Presidência;NA;2846;Secretaria de Meio Ambiente da Presidência;NA;555
Secretaria-Geral da Presidência;NA;2755;Secretaria Geral da Presidência da República;NA;563
Secretaria-Geral da Presidência;Assessoria para Assuntos Sociais;2825;Secretaria Geral da Presidência da República;NA;563
NA;NA;24;Sem informação;NA;565
Senado Federal;NA;2798;Senado Federal;NA;568
Senado Federal;Cerimonial do Senado;2877;Senado Federal;NA;568
UnB - Universidade de Brasília;Comissão de Políticas de Desenvolvimento Sustentável (CPDS);2928;Universidade de Brasília;NA;616
Universidade de São Paulo;NA;2847;Universidade de São Paulo;NA;617
USP;Curso de Gestão Ambiental;2960;Universidade de São Paulo;NA;617
USP;"Faculdade de Saúde Pública; Revista de Direito Ambiental";2963;Universidade de São Paulo;NA;617
UNICAMP - Universidade Estadual de Campinas;Departamento de Botânica;2933;Universidade Estadual de Campinas;NA;621
UFMG - Universidade Federal de Minas Gerais;Comissão de Políticas de Desenvolvimento Sustentável (CPDS);2927;Universidade Federal de Minas Gerais;NA;632
Vice-Presidência da República;NA;2738;Vice-Presidência da República;NA;658
Vice-Presidência da República;Gabinete do vice-presidente;2819;Vice-Presidência da República;NA;658
Vice-Presidência da República;Subchefia Internacional;2827;Vice-Presidência da República;NA;658
Associação dos Juízes Federais do Brasil;NA;2913;AJUFE - Associação dos Juízes Federais do Brasil;NA;673
Brasil Connects;NA;2935;Brasil Connects;NA;674
Cidade de Alto Paraíso - GO;Secretaria de Meio Ambiente;2962;Município de Alto Paraíso;NA;675
Cidade de Campos dos Goytacazes;NA;2956;Município de Campos dos Goytacazes;NA;676
"Comissão Interministerial para os Recursos do Mar (SECIRM); CIMA";NA;2830;CIRM - Comissão Interministerial para os Recursos do Mar;NA;677
Comitê Brasileiro do Programa das Nações Unidas para Meio Ambiente;NA;2941;Comitê Brasileiro do Programa das Nações Unidas para Meio Ambiente;NA;678
Confederação Nacional de Comércio;NA;2849;CNC - Confederação Nacional de Comércio;NA;679
Consultoria-Geral da República;NA;2758;CGR - Consultoria-Geral da República;NA;680
CREA;Piauí;2944;CREA-PI;NA;681
DNEMET - Departamento Nacional de Meteorologia;NA;2837;DNEMET - Departamento Nacional de Meteorologia;NA;682
Ecco Internacional Salvador;NA;2936;Ecco International;NA;683
Ecco Internacional Salvador;Jurídico;2937;Ecco International;NA;683
Estado de Sergipe;NA;2780;Estado de Sergipe;NA;684
Estado do Mato Grosso do Sul;NA;2784;Estado de Mato Grosso do Sul;NA;685
Exército do Brasil;Estado-Maior do Exército;2802;Exército do Brasil;NA;686
Exército do Brasil;NA;2811;Exército do Brasil;NA;686
Federação das Indústrias do Estado de Santa Catarina;Câmara de Qualidade Ambiental;2918;FIESC - Federação das Indústrias do Estado de Santa Catarina;NA;687
Federação das Indústrias do Estado do Espírito Santo;NA;2920;FINDES - Federação das Indústrias do Estado do Espírito Santo;NA;688
Força Aérea Brasileira;Estado-Maior da Aeronáutica;2803;Força Aérea Brasileira;NA;689
Fórum Intergovernamental de Segurança Química;NA;2875;IFCS - Intergovernmental Forum on Chemical Safety;NA;690
Fundação Araripe;NA;2934;Fundação para o Desenvolvimento Sustentável do Araripe;NA;691
Fundação Dom Cabral;Desenvolvimento de Executivos e Empresas;2924;Fundação Dom Cabral;NA;692
Instituto Ambiental Biosfera;NA;2966;Instituto Global Biosfera;NA;693
Instituto Ambiental Vidágua;NA;2938;Instituto Ambiental Vidágua;NA;694
Instituto Brasileiro de Mineração;NA;2921;IBRAM - Instituto Brasileiro de Mineração;NA;695
Instituto de Pesquisa, Ação e Mobilização;NA;2940;Instituto de Pesquisa, Ação e Mobilização;NA;696
Ministério da Ação Social;NA;2748;Ministério da Ação Social;NA;697
Ministério da Ação Social;Secretaria Nacional de Saneamento;2810;Ministério da Ação Social;NA;697
Ministério da Aeronáutica;NA;2746;Ministério da Aeronáutica;NA;698
Ministério da Economia, Fazenda e Planejamento;NA;2743;Ministério da Economia, Fazenda e Planejamento;NA;699
Ministério da Economia, Fazenda e Planejamento;Secretaria Nacional de Planejamento;2805;Ministério da Economia, Fazenda e Planejamento;NA;699
Ministério da Economia, Fazenda e Planejamento;Secretaria Nacional de Economia;2806;Ministério da Economia, Fazenda e Planejamento;NA;699
Ministério da Economia, Fazenda e Planejamento;Departamento de Assuntos Internacionais, Secretaria Nacional de Planejamento;2817;Ministério da Economia, Fazenda e Planejamento;NA;699
Ministério da Economia, Fazenda e Planejamento;Gabinete do ministro;2821;Ministério da Economia, Fazenda e Planejamento;NA;699
Ministério da Economia, Fazenda e Planejamento;"Secretaria da Fazenda Nacional; Departamento da Receita Federal";2829;Ministério da Economia, Fazenda e Planejamento;NA;699
Ministério da Infra-Estrutura;Secretaria Nacional de Energia;2807;Ministério da Infra-Estrutura;NA;700
Ministério da Infra-Estrutura;Secretaria Nacional de Minas e Metalurgia;2808;Ministério da Infra-Estrutura;NA;700
Ministério da Marinha;NA;2741;Ministério da Marinha;NA;701
Ministério do Exército;NA;2742;Ministério do Exército;NA;702
Projeto Cala-Boca já Morreu;NA;2939;Projeto Cala-Boca Já Morreu;NA;703
Rádio Eldorado;NA;2964;Rádio Eldorado;NA;704
Secretaria de Cultura da Presidência;NA;2759;Secretaria de Cultura da Presidência;NA;705
Secretaria de Desenvolvimento Regional da Presidência;NA;2754;Secretaria de Desenvolvimento Regional da Presidência;NA;706
Secretaria de Desportos da Presidência;NA;2761;Secretaria de Desportos da Presidência;NA;707
Secretaria de Governo da Presidência;NA;2753;Secretaria de Governo da Presidência;NA;708
