"ano";"id_org_unica";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"forca_trabalho";"org_limpo"
2001;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2001;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2001;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2002;27;155876388;142112813;3660070;879018;NA;NA;1683;"AGU - Advocacia Geral da União"
2002;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2002;421;5486246009;3717093229;299769698;55430148;6827;10387;11415;"Ministério da Agricultura, Pecuária e Abastecimento"
2002;422;2835306953;1921084468;373207428;56180153;3430;639;7051;"Ministério da Ciência e Tecnologia"
2002;423;415231962;245792772;100678078;12314840;151;187;2477;"Ministério da Cultura"
2002;424;29004079074;26930117850;2117374260;1042922260;9376;20373;29608;"Ministério da Defesa"
2002;425;12999074827;6499379860;199563045;69350832;50993;50128;NA;"Ministério da Economia"
2002;426;18261210134;15760729579;984810859;305935843;96591;58236;165163;"Ministério da Educação"
2002;429;4210779964;3350117512;762527394;382525171;9493;11654;20729;"Ministério da Justiça"
2002;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2002;431;1e+18;98867996096;157917037;13869137;503;565;39523;"Ministério da Previdência Social"
2002;432;29925612516;26027957018;2418924125;476853178;43228;62687;103634;"Ministério da Saúde"
2002;433;7346670873;4381158689;2145081369;465302806;1042;1677;NA;"Ministério das Cidades"
2002;434;2843773141;918412671;823304266;31431723;246;325;1761;"Ministério das Comunicações"
2002;435;1278837222;1426925908;12605000;15632209;2082;1049;2998;"Ministério das Relações Exteriores"
2002;436;3013377442;1692544345;237917965;12476761;1342;929;2104;"Ministério de Minas e Energia"
2002;437;2227903495;1434005467;392940946;66334532;91;67;5663;"Ministério do Desenvolvimento Agrário"
2002;438;0;0;0;0;24;10;NA;"Ministério do Desenvolvimento Social e Combate à Fome"
2002;439;1338906032;860664221;128065461;20948818;NA;NA;2401;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2002;440;767557239;251581886;503611827;72431609;89;133;396;"Ministério do Esporte"
2002;442;1661617646;798574845;530058917;55928205;3128;4024;7115;"Ministério do Meio Ambiente"
2002;444;1720718879;1463444409;15470199;1903931;2754;2344;14079;"Ministério do Planejamento, Orçamento e Gestão"
2002;445;15410471635;14713713280;88380760;42492386;4670;2837;7671;"Ministério do Trabalho e Emprego"
2002;446;0;0;0;0;1280;1153;NA;"Ministério do Turismo"
2002;523;2211227130;838878311;1254777449;111030791;5610;3107;3147;"Presidência da República"
2002;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2002;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2002;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2002;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2002;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2002;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2002;658;4653439;4039461;355000;144543;NA;NA;NA;"Vice-Presidência da República"
2002;700;10880189948;5573962719;3927069779;943660566;2286;2790;NA;"Ministério da Infra-Estrutura"
2002;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2002;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2002;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2003;27;246222205;211675714;6921442;2081548;NA;NA;3804;"AGU - Advocacia Geral da União"
2003;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2003;421;5948894225;4123318755;195748295;16076567;6411;9959;10973;"Ministério da Agricultura, Pecuária e Abastecimento"
2003;422;3452912670;2282857147;240426180;87388640;3164;816;6972;"Ministério da Ciência e Tecnologia"
2003;423;397424726;227507371;81905305;5829673;158;219;2391;"Ministério da Cultura"
2003;424;28824322889;25015916192;1469079037;474979765;9223;19677;28710;"Ministério da Defesa"
2003;425;10802162870;7759187480;60350576;23667918;50083;49509;NA;"Ministério da Economia"
2003;426;18902857426;16570771043;709871441;245636182;96766;58075;164870;"Ministério da Educação"
2003;429;4154953149;3390846339;624862829;211232625;10305;11383;21244;"Ministério da Justiça"
