nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2000
Ministério de Minas e Energia;Ministério de Minas e Energia;436;0;2000
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437;1;2000
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2000
Ministério do Esporte e Turismo;Ministério do Esporte;440;1;2000
Ministério do Esporte e Turismo;Ministério do Esporte;440;1;2000
Ministério da Educação;Ministério da Educação;426;1;2001
Ministério da Fazenda;Ministério da Fazenda;427;1;2001
Ministério da Justiça;Ministério da Justiça;429;1;2001
Ministério da Saúde;Ministério da Saúde;432;1;2001
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2001
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2001
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2001
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2001
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2002
Corregedoria-Geral da União;Controladoria Geral da União;176;0;2002
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2002
Ministério da Fazenda;Ministério da Fazenda;427;1;2002
Ministério da Previdência e Assistência Social;Ministério da Previdência Social;431;1;2002
Ministério da Previdência e Assistência Social;Ministério da Previdência Social;431;1;2002
Ministério da Saúde;Ministério da Saúde;432;1;2002
Ministério das Comunicações;Ministério das Comunicações;434;0;2002
Gabinete do Presidente da República;Presidência da República;523;0;2002
Secretaria de Estado de Comunicação de Governo da Presidência da República;Secretaria de Comunicação Social da Presidência;554;0;2002
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2002
Secretaria Especial de Desenvolvimento Urbano da Presidência da República;;;0;2002
Agência Brasileira de Inteligência (ABIN) do Gabinete de Segurança Institucional da Presidência da República;ABIN - Agência Brasileira de Inteligência;8;1;2003
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2003
Controladoria-Geral da União;Controladoria Geral da União;176;0;2003
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2003
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2003
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2003
Ministério da Cultura;Ministério da Cultura;423;0;2003
Ministério da Cultura;Ministério da Cultura;423;0;2003
Ministério da Defesa;Ministério da Defesa;424;1;2003
Ministério da Educação;Ministério da Educação;426;1;2003
