nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Ministério da Saúde;Ministério da Saúde;432;1;2013
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2013
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2013
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2013
Ministério do Esporte;Ministério do Esporte;440;1;2013
Ministério do Esporte;Ministério do Esporte;440;1;2013
Ministério do Turismo;Ministério do Turismo;446;1;2013
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2013
Secretaria da Micro e Pequena Empresa da Presidência da República;Secretaria Especial da Micro e Pequena Empresa;751;0;2013
Secretaria de Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;1;2013
Secretaria de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2013
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2013
Secretaria de Portos da Presidência da República;Secretaria Nacional de Portos;564;0;2013
Ministério da Cultura;Ministério da Cultura;423;1;2014
Ministério da Justiça;Ministério da Justiça;429;1;2014
Ministério da Justiça;Ministério da Justiça;429;1;2014
Ministério do Desenvolvimento Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2014
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2014
Secretaria de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2014
Casa Militar da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2015
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2015
Ministério da Cultura;Ministério da Cultura;423;1;2015
Ministério da Defesa;Ministério da Defesa;424;1;2015
Ministério da Fazenda;Ministério da Fazenda;427;1;2015
Ministério da Fazenda;Ministério da Fazenda;427;1;2015
Ministério da Saúde;Ministério da Saúde;432;1;2015
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2015
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2015
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2015
Ministério do Turismo;Ministério do Turismo;446;1;2015
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2015
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2015
Secretaria da Micro e Pequena Empresa da Presidência da República;Secretaria Especial da Micro e Pequena Empresa;751;0;2015
Secretaria de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2015
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2015
Agência Brasileira de Inteligência;ABIN - Agência Brasileira de Inteligência;8;1;2016
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2016
Ministério da Transparência, Fiscalização e Controladoria-Geral da União;Controladoria Geral da União;176;1;2016
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2016
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2016
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2016
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2016
Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422;1;2016
Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422;1;2016
Ministério da Cultura;Ministério da Cultura;423;1;2016
Ministério da Justiça;Ministério da Justiça;429;1;2016
Ministério da Justiça;Ministério da Justiça;429;1;2016
Ministério da Saúde;Ministério da Saúde;432;1;2016
Ministério das Cidades;Ministério das Cidades;433;1;2016
Ministério das Comunicações;Ministério das Comunicações;434;1;2016
Ministério das Comunicações;Ministério das Comunicações;434;1;2016
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2016
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2016
Ministério de Minas e Energia;Ministério de Minas e Energia;436;1;2016
Ministério do Desenvolvimento Social e Agrário;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2016
Ministério da Indústria, Comércio Exterior e Serviços;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2016
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2016
Ministério do Esporte;Ministério do Esporte;440;1;2016
Ministério do Esporte;Ministério do Esporte;440;1;2016
Ministério do Esporte;Ministério do Esporte;440;1;2016
Ministério do Esporte;Ministério do Esporte;440;1;2016
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Desenvolvimento e Gestão;443;1;2016
Ministério do Trabalho;Ministério do Trabalho e Emprego;445;1;2016
Ministério do Trabalho;Ministério do Trabalho e Emprego;445;1;2016
Ministério do Turismo;Ministério do Turismo;446;1;2016
Ministério dos Transportes;Ministério dos Transportes;447;1;2016
Secretaria-Executiva do Programa de Parcerias de Investimentos da Presidência da República;;;0;2016
Advocacia-Geral da União;AGU - Advocacia Geral da União;27;1;2017
Advocacia-Geral da União;AGU - Advocacia Geral da União;27;1;2017
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2017
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2017
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2017
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2017
Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422;1;2017
Ministério da Defesa;Ministério da Defesa;424;1;2017
Ministério da Defesa;Ministério da Defesa;424;1;2017
Ministério da Educação;Ministério da Educação;426;1;2017
Ministério da Fazenda;Ministério da Fazenda;427;1;2017
Ministério da Fazenda;Ministério da Fazenda;427;1;2017
Ministério da Integração Nacional;Ministério da Integração Nacional;428;1;2017
Ministério da Integração Nacional;Ministério da Integração Nacional;428;1;2017
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;1;2017
Ministério dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;1;2017
Ministério da Saúde;Ministério da Saúde;432;1;2017
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2017
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2017
Ministério da Indústria, Comércio Exterior e Serviços;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2017
Ministério da Indústria, Comércio Exterior e Serviços;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2017
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2017
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2017
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Desenvolvimento e Gestão;443;1;2017
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Desenvolvimento e Gestão;443;1;2017
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Desenvolvimento e Gestão;443;1;2017
Ministério do Trabalho;Ministério do Trabalho e Emprego;445;1;2017
Ministério do Trabalho;Ministério do Trabalho e Emprego;445;1;2017
Ministério dos Transportes, Portos e Aviação Civil;Ministério dos Transportes;447;1;2017
Ministério dos Transportes, Portos e Aviação Civil;Ministério dos Transportes;447;1;2017
Assessoria Especial do Presidente da República;Presidência da República;523;1;2017
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2017
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2017
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;0;2017
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2017
Procuradoria-Geral Federal;;;0;2017
Procuradoria-Geral Federal;;;0;2017
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2018
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2018
Ministério da Transparência, Fiscalização e Controladoria-Geral da União;Controladoria Geral da União;176;1;2018
Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422;1;2018
Ministério da Cultura;Ministério da Cultura;423;1;2018
Ministério da Defesa;Ministério da Defesa;424;1;2018
Ministério da Fazenda;Ministério da Fazenda;427;1;2018
Ministério da Fazenda;Ministério da Fazenda;427;1;2018
Ministério da Fazenda;Ministério da Fazenda;427;1;2018
Ministério da Integração Nacional;Ministério da Integração Nacional;428;1;2018
Ministério dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;1;2018
Ministério da Saúde;Ministério da Saúde;432;1;2018
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2018
Ministério da Indústria, Comércio Exterior e Serviços;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2018
Ministério do Esporte;Ministério do Esporte;440;1;2018
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Desenvolvimento e Gestão;443;1;2018
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Desenvolvimento e Gestão;443;1;2018
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;0;2018
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2018
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2019
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2019
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2019
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2019
Controladoria-Geral da União;Controladoria Geral da União;176;1;2019
Controladoria-Geral da União;Controladoria Geral da União;176;1;2019
Controladoria-Geral da União;Controladoria Geral da União;176;1;2019
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2019
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2019
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2019
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2019
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2019
Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422;1;2019
Ministério da Defesa;Ministério da Defesa;424;1;2019
Ministério da Economia;Ministério da Economia;425;1;2019
Ministério da Economia;Ministério da Economia;425;1;2019
Ministério da Economia;Ministério da Economia;425;1;2019
Ministério da Economia;Ministério da Economia;425;1;2019
Ministério da Educação;Ministério da Educação;426;1;2019
Ministério da Educação;Ministério da Educação;426;1;2019
Ministério da Infraestrutura;Ministério da Infraestrutura;753;1;2019
Ministério da Infraestrutura;Ministério da Infraestrutura;753;1;2019
Ministério do Desenvolvimento Regional;Ministério da Integração Nacional;428;1;2019
Ministério do Desenvolvimento Regional;Ministério da Integração Nacional;428;1;2019
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;1;2019
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;1;2019
Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;1;2019
Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;1;2019
Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;1;2019
Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750;1;2019
Ministério da Saúde;Ministério da Saúde;432;1;2019
Ministério da Saúde;Ministério da Saúde;432;1;2019
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2019
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2019
Ministério de Minas e Energia;Ministério de Minas e Energia;436;1;2019
Ministério da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2019
Ministério da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2019
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2019
Ministério do Turismo;Ministério do Turismo;446;1;2019
Assessoria Especial do Presidente da República;Presidência da República;523;1;2019
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2019
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2019
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2019
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2019
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2019
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2019
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1;2019
Vice-Presidência da República;Vice-Presidência da República;658;1;2019
Agência Brasileira de Inteligência;ABIN - Agência Brasileira de Inteligência;8;1;2020
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2020
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2020
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;1;2020
Controladoria-Geral da União;Controladoria Geral da União;176;1;2020
Controladoria-Geral da União;Controladoria Geral da União;176;1;2020
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;1;2020
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2020
Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência e Tecnologia;422;1;2020
Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência e Tecnologia;422;1;2020
Ministério da Defesa;Ministério da Defesa;424;1;2020
Ministério da Economia;Ministério da Economia;425;1;2020
Ministério da Economia;Ministério da Economia;425;1;2020
Ministério da Economia;Ministério da Economia;425;1;2020
Ministério da Infraestrutura;Ministério da Infraestrutura;753;0;2020
Ministério do Desenvolvimento Regional;Ministério da Integração Nacional;428;1;2020
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;1;2020
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;1;2020
Ministério da Justiça e Segurança Pública;Ministério da Justiça;429;1;2020
Ministério da Saúde;Ministério da Saúde;432;1;2020
Ministério das Comunicações;Ministério das Comunicações;434;1;2020
Ministério de Minas e Energia;Ministério de Minas e Energia;436;1;2020
Ministério da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2020
Ministério da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2020
Ministério da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2020
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2020
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2020
Ministério do Turismo;Ministério do Turismo;446;1;2020
Ministério do Turismo;Ministério do Turismo;446;1;2020
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2020
Secretaria de Governo da Presidência da República;Secretaria de Governo da Presidência;708;1;2020
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2020
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2020
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2020
