"id_org_unica";"ano";"part_count";"part_binaria";"org_limpo"
435;1970;7;1;"Ministério das Relações Exteriores"
435;1971;0;0;"Ministério das Relações Exteriores"
435;1972;18;1;"Ministério das Relações Exteriores"
435;1973;0;0;"Ministério das Relações Exteriores"
435;1974;0;0;"Ministério das Relações Exteriores"
435;1975;0;0;"Ministério das Relações Exteriores"
435;1976;0;0;"Ministério das Relações Exteriores"
435;1977;0;0;"Ministério das Relações Exteriores"
435;1978;3;1;"Ministério das Relações Exteriores"
435;1979;6;1;"Ministério das Relações Exteriores"
435;1980;10;1;"Ministério das Relações Exteriores"
435;1981;0;0;"Ministério das Relações Exteriores"
435;1982;2;1;"Ministério das Relações Exteriores"
435;1983;3;1;"Ministério das Relações Exteriores"
435;1984;1;1;"Ministério das Relações Exteriores"
435;1985;2;1;"Ministério das Relações Exteriores"
435;1986;2;1;"Ministério das Relações Exteriores"
435;1987;5;1;"Ministério das Relações Exteriores"
435;1988;7;1;"Ministério das Relações Exteriores"
435;1989;5;1;"Ministério das Relações Exteriores"
435;1990;11;1;"Ministério das Relações Exteriores"
435;1991;4;1;"Ministério das Relações Exteriores"
435;1992;55;1;"Ministério das Relações Exteriores"
435;1993;6;1;"Ministério das Relações Exteriores"
435;1994;17;1;"Ministério das Relações Exteriores"
435;1995;16;1;"Ministério das Relações Exteriores"
435;1996;22;1;"Ministério das Relações Exteriores"
435;1997;10;1;"Ministério das Relações Exteriores"
435;1998;29;1;"Ministério das Relações Exteriores"
435;1999;20;1;"Ministério das Relações Exteriores"
435;2000;25;1;"Ministério das Relações Exteriores"
435;2001;24;1;"Ministério das Relações Exteriores"
435;2002;52;1;"Ministério das Relações Exteriores"
435;2003;8;1;"Ministério das Relações Exteriores"
435;2004;29;1;"Ministério das Relações Exteriores"
435;2005;17;1;"Ministério das Relações Exteriores"
435;2006;23;1;"Ministério das Relações Exteriores"
435;2007;51;1;"Ministério das Relações Exteriores"
435;2008;29;1;"Ministério das Relações Exteriores"
435;2009;55;1;"Ministério das Relações Exteriores"
435;2010;94;1;"Ministério das Relações Exteriores"
435;2011;47;1;"Ministério das Relações Exteriores"
435;2012;116;1;"Ministério das Relações Exteriores"
435;2013;54;1;"Ministério das Relações Exteriores"
435;2014;50;1;"Ministério das Relações Exteriores"
435;2015;63;1;"Ministério das Relações Exteriores"
435;2016;46;1;"Ministério das Relações Exteriores"
435;2017;42;1;"Ministério das Relações Exteriores"
435;2018;39;1;"Ministério das Relações Exteriores"
435;2019;58;1;"Ministério das Relações Exteriores"
421;1970;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1971;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1972;1;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1973;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1974;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1975;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1976;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1977;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1978;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1979;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1980;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1981;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1982;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1983;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1984;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1985;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1986;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1987;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1988;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1989;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1990;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1991;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1992;1;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1993;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1994;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1995;1;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1996;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1997;0;0;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1998;2;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;1999;2;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2000;2;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2001;3;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2002;2;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2003;2;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2004;3;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2005;5;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2006;12;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2007;3;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2008;15;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2009;9;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2010;11;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2011;5;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2012;13;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2013;4;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2014;4;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2015;3;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2016;23;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2017;2;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2018;9;1;"Ministério da Agricultura, Pecuária e Abastecimento"
421;2019;11;1;"Ministério da Agricultura, Pecuária e Abastecimento"
432;1970;0;0;"Ministério da Saúde"
432;1971;0;0;"Ministério da Saúde"
432;1972;1;1;"Ministério da Saúde"
432;1973;0;0;"Ministério da Saúde"
432;1974;0;0;"Ministério da Saúde"
432;1975;0;0;"Ministério da Saúde"
432;1976;0;0;"Ministério da Saúde"
432;1977;0;0;"Ministério da Saúde"
432;1978;0;0;"Ministério da Saúde"
432;1979;0;0;"Ministério da Saúde"
432;1980;0;0;"Ministério da Saúde"
432;1981;0;0;"Ministério da Saúde"
432;1982;0;0;"Ministério da Saúde"
432;1983;0;0;"Ministério da Saúde"
432;1984;0;0;"Ministério da Saúde"
