nome_org_original;org_limpo;id_org_unica;criaçao;extinçao;antecessor;sucessor
Ministério do Meio Ambiente e da Amazônia Legal;Ministério do Meio Ambiente;442;1993;1998;;
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal ;Ministério do Meio Ambiente;442;1998;1999;;
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1999;;;
Ministério do Planejamento;Ministério do Planejamento, Orçamento e Gestão;444;1962;1964;;
Ministério do Planejamento e Coordenação Econômica;Ministério do Planejamento, Orçamento e Gestão;444;1964;1967;;
Ministério do Planejamento e Coordenação Geral;Ministério do Planejamento, Orçamento e Gestão;444;1967;1974;;
Ministério do Planejamento e Orçamento;Ministério do Planejamento, Orçamento e Gestão;444;1995;1998;;
Ministério do Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1998;1999;;
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1999;2016;;
Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;2016;2019;;
Ministério do Trabalho e Previdência Social;Ministério do Trabalho e Emprego;445;1960;1974;;
Ministério do Trabalho;Ministério do Trabalho e Emprego;445;1974;1990;;
Ministério do Trabalho e da Administração;Ministério do Trabalho e Emprego;445;1992;1992;;
Ministério do Trabalho;Ministério do Trabalho e Emprego;445;1992;2001;;
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;2001;2016;;
Ministério do Trabalho e Previdência Social;Ministério do Trabalho e Emprego;445;2016;2019;;
Ministério do Turismo;Ministério do Turismo;446;2003;;;
Ministério dos Transportes;Ministério dos Transportes;447;1967;1990;;
Ministério dos Transportes e das Comunicações;Ministério dos Transportes;447;1992;1992;;
Ministério dos Transportes;Ministério dos Transportes;447;1992;2016;;
Ministério dos Transportes, Portos e Aviação Civil;Ministério dos Transportes;447;2016;2019;;
Ministério Extraordinário para Assuntos Fundiários;Ministério Extraordinário de Política Fundiária;448;1982;1985;;
Ministério da Reforma e do Desenvolvimento Agrário;Ministério Extraordinário de Política Fundiária;448;1985;1989;;
Ministério Extraordinário de Política Fundiária;Ministério Extraordinário de Política Fundiária;448;1996;1999;;
Núcleo de Assuntos Estratégicos da Presidência;Núcleo de Assuntos Estratégicos da Presidência;500;2005;2008;;
Presidência da República;Presidência da República;523;1889;;;
Secretaria de Assuntos Estratégicos;Secretaria de Assuntos Estratégicos;551;1990;1999;;
Secretaria de Assuntos Estratégicos;Secretaria de Assuntos Estratégicos;551;2008;2016;;
Secretaria Especial de Assuntos Estratégicos;Secretaria de Assuntos Estratégicos;551;2017;;;
Secretaria de Aviação Civil;Secretaria de Aviação Civil;552;2011;2016;;
Secretaria de Ciência e Tecnologia da Presidência;Secretaria de Ciência e Tecnologia da Presidência;553;1989;1990;;
Secretaria de Comunicação Social;Secretaria de Comunicação Social da Presidência;554;1979;1987;;
Secretaria Especial de Comunicação Social da Administração Federal;Secretaria de Comunicação Social da Presidência;554;1987;1992;;
Secretaria de Comunicação Social da Presidência da República;Secretaria de Comunicação Social da Presidência;554;1998;1999;;
Secretaria de Comunicação de Governo da Presidência da República;Secretaria de Comunicação Social da Presidência;554;1999;2001;;
Secretaria de Estado de Comunicação de Governo;Secretaria de Comunicação Social da Presidência;554;2001;2003;;
Secretaria de Comunicação e Gestão Estratégica da Presidência da República;Secretaria de Comunicação Social da Presidência;554;2003;2005;;
Secretaria de Comunicação Social da Presidência;Secretaria de Comunicação Social da Presidência;554;2007;2016;;
Secretaria de Cultura da Presidência República;Secretaria de Cultura da Presidência;705;1990;1992;;
Secretaria de Desenvolvimento Regional da Presidência;Secretaria de Desenvolvimento Regional da Presidência;706;1990;1992;;
Secretaria de Desportos da Presidência;Secretaria de Desportos da Presidência;707;1990;1992;;
Secretaria de Governo da Presidência;Secretaria de Governo da Presidência;708;2015;;;
Secretaria Especial do Meio Ambiente;Secretaria de Meio Ambiente da Presidência;555;1973;1989;;
Secretaria de Planejamento da Presidência da República;Secretaria de Planejamento da Presidência da República;556;1974;1987;;
Secretaria de Planejamento e Coordenação;Secretaria de Planejamento da Presidência da República;556;1987;1990;;
Secretaria de Planejamento, Orçamento e Coordenação da Presidência da República;Secretaria de Planejamento da Presidência da República;556;1992;1995;;
Secretaria Especial de Políticas de Promoção da Igualdade Racial da Presidência da República;Secretaria de Políticas de Promoção da Igualdade Racial;557;2003;2016;;
Secretaria de Relações Institucionais;Secretaria de Relações Institucionais;558;1999;2004;;
Secretaria de Coordenação Política e Assuntos Institucionais;Secretaria de Relações Institucionais;558;2004;2005;;
Secretaria de Relações Institucionais;Secretaria de Relações Institucionais;558;2005;2016;;
Secretaria da Micro e Pequena Empresa da Presidência da República;Secretaria Especial da Micro e Pequena Empresa;751;2012;2016;;
Secretaria Especial de Aquicultura e Pesca;Secretaria Especial de Aquicultura e Pesca;560;2017;2019;;
Secretaria Especial dos Direitos Humanos;Secretaria Especial de Direitos Humanos;561;2003;2010;;
Secretaria de Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;2010;2016;;
Secretaria Especial de Políticas para as Mulheres;Secretaria Especial de Políticas para as Mulheres;562;2003;2010;;
Secretaria de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;2010;2016;;
Secretaria Geral da Presidência da República;Secretaria Geral da Presidência da República;563;1990;2016;;
Secretaria Geral da Presidência da República;Secretaria Geral da Presidência da República;563;2017;;;
Secretaria Especial de Portos da Presidência da República;Secretaria Nacional de Portos;564;2007;2010;;
Secretaria de Portos da Presidência da República;Secretaria Nacional de Portos;564;2010;2016;;
Vice-Presidência da República;Vice-Presidência da República;658;1891;;;
