id_org_ano;id_org_unica;ano;org_limpo;part_count;part_binaria;existencia;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest;servidores_superior;servidores_naosup;forca_trabalho_bep
2003432;432;2003;Ministério da Saúde;0;0;1;31173255487;28219878370;1427164743;173163772;41529;65395;105238
2004432;432;2004;Ministério da Saúde;1;1;1;38216590428;33652264131;2496791961;574587368;40852;63902;103483
2005432;432;2005;Ministério da Saúde;0;0;1;42931340522;36845040043;2589449989;265718665;42786;64416;106079
2006432;432;2006;Ministério da Saúde;8;1;1;46180558742;39949908860;3316729809;431530233;45402;64493;109107
2007432;432;2007;Ministério da Saúde;1;1;1;52992319275;43839983401;4714740331;208289099;44533;62504;106259
2008432;432;2008;Ministério da Saúde;10;1;1;56736426612;48421304530;3940089746;278106508;44221;62176;105621
2009432;432;2009;Ministério da Saúde;3;1;1;64328379880;54319012576;4263054204;353684527;43964;62304;105456
2010432;432;2010;Ministério da Saúde;5;1;1;69790948315;60924192394;4580980079;667007566;43687;59788;102865
2011432;432;2011;Ministério da Saúde;3;1;1;80873978125;70101574690;5752205868;730674040;43259;57253;99962
2012432;432;2012;Ministério da Saúde;20;1;1;95903835874;78272325636;12142587347;1310363864;43140;55188;97798
2013432;432;2013;Ministério da Saúde;2;1;1;1,01E+13;83825836820;9382218737;1246894919;45193;52957;97632
2014432;432;2014;Ministério da Saúde;0;0;1;1,08E+13;94107630692;9444750766;1481059029;48989;51674;99751
2015432;432;2015;Ministério da Saúde;1;1;1;1,21E+13;1,02E+13;10286884924;1125731606;51751;49710;100806
2016432;432;2016;Ministério da Saúde;0;0;1;1,21E+13;1,09E+13;6769116206;2023832202;54767;48173;102314
2017432;432;2017;Ministério da Saúde;4;1;1;1,30E+13;1,12E+13;8216962892;922360567;57971;45796;NA
2018432;432;2018;Ministério da Saúde;1;1;1;1,32E+13;1,17E+13;5416571103;1975694305;58374;43337;NA
2019432;432;2019;Ministério da Saúde;2;1;1;1,38E+13;1,24E+13;4506624961;1179557218;62266;36770;NA
1997439;439;1997;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;NA;NA;NA;NA;NA;NA;2411
1998439;439;1998;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;NA;NA;NA;NA;NA;NA;2335
