"ano";"id_org_unica";"org_limpo";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"pep_servidores";"forca_trabalho";"id_org_ano";"existencia";"estr_intl"
2007;447;"Ministério dos Transportes";14368792580;6333000189;10878169185;3372103129;3393;3203;NA;5454;"2007447";1;1
2008;447;"Ministério dos Transportes";15119964134;4982875467;10977034474;2075908149;3723;3054;NA;5254;"2008447";1;1
2009;447;"Ministério dos Transportes";16691039013;7725403120;12558970312;4307124102;4019;3472;NA;5895;"2009447";1;1
2010;447;"Ministério dos Transportes";21249921408;10394067077;16274300187;6676753957;4457;3753;NA;6140;"2010447";1;1
2011;447;"Ministério dos Transportes";22321856817;10353591784;17116207955;6079396610;4491;3676;NA;6136;"2011447";1;1
2012;447;"Ministério dos Transportes";28348000890;9169820724;23163081844;4723282806;4328;3619;NA;6002;"2012447";1;1
2013;447;"Ministério dos Transportes";21124197377;9079670547;15181987707;4369416370;4839;3816;NA;6264;"2013447";1;1
2014;447;"Ministério dos Transportes";21730763598;9998181329;16305813264;5225165065;4830;3658;NA;6434;"2014447";1;1
2015;447;"Ministério dos Transportes";19083215035;7122987870;12917391607;1968974729;4847;3562;NA;6251;"2015447";1;1
2016;447;"Ministério dos Transportes";13977448475;8909163446;8167761981;3557165552;4779;3433;NA;6037;"2016447";1;1
1997;523;"Presidência da República";NA;NA;NA;NA;NA;NA;NA;5370;"1997523";1;NA
1998;523;"Presidência da República";NA;NA;NA;NA;NA;NA;NA;5401;"1998523";1;NA
1999;523;"Presidência da República";NA;NA;NA;NA;2695;4388;8127;2519;"1999523";1;NA
2000;523;"Presidência da República";1520867097;486218147;978435068;59830125;3752;5895;13188;3318;"2000523";1;NA
2001;523;"Presidência da República";2192974729;805246544;1376962755;201401558;5960;4188;13703;3284;"2001523";1;NA
2002;523;"Presidência da República";2211227130;838878311;1254777449;111030791;5610;3107;12270;3147;"2002523";1;0
2003;523;"Presidência da República";2851600354;1634784738;157207854;49057455;7105;4319;14995;3744;"2003523";1;1
2004;523;"Presidência da República";1403700353;1057889252;136576458;46607338;10792;4445;18823;3767;"2004523";1;1
2005;523;"Presidência da República";1989928006;1389464515;156233201;46185538;11499;4658;19799;4222;"2005523";1;1
2006;523;"Presidência da República";2034254444;1539666515;122619354;43843492;12459;4750;20960;4875;"2006523";1;1
2007;523;"Presidência da República";3124034400;1870432636;563753539;111269694;13207;4997;22112;5697;"2007523";1;0
2008;523;"Presidência da República";4770861174;2605262103;1515779372;249987430;14682;5511;24347;7513;"2008523";1;0
2009;523;"Presidência da República";6108741550;3335598891;1795182744;366317112;15090;5742;25228;7917;"2009523";1;0
2010;523;"Presidência da República";6283721332;3538304873;1613675437;341895512;15271;6024;26059;7799;"2010523";1;0
2011;523;"Presidência da República";5673252353;3397112079;1027177461;128677776;14649;5714;25489;6873;"2011523";1;0
2012;523;"Presidência da República";6903958967;3641340445;1146805555;112621090;14742;5551;25796;8437;"2012523";1;0
2013;523;"Presidência da República";2305247958;1557860703;129311340;13034154;15203;5593;26806;9113;"2013523";1;0
2014;523;"Presidência da República";2202537812;1728149346;100702250;15787695;15145;5613;27149;9151;"2014523";1;0
2015;523;"Presidência da República";2509946649;1738938332;82487650;5977127;15156;5499;27501;18493;"2015523";1;0
2016;523;"Presidência da República";2567420208;1910504844;40302899;12838096;15170;5529;52092;17437;"2016523";1;0
2017;523;"Presidência da República";6944147530;4642029571;605163745;56967053;13314;4970;47479;NA;"2017523";1;1
2018;523;"Presidência da República";8242857622;4947141003;1442719178;213971903;13896;5018;46044;NA;"2018523";1;1
2019;523;"Presidência da República";2401790772;1755913696;66755533;8456965;13183;4543;44196;NA;"2019523";1;1
2020;523;"Presidência da República";2361960063;1756157388;109724409;7376422;13148;4398;43012;NA;"2020523";1;1
2000;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2000551";0;0
2001;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2001551";0;0
2002;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2002551";0;0
2003;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2003551";0;0
2004;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2004551";0;0
2005;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2005551";0;0
2006;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2006551";0;0
2007;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2007551";0;0
2008;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2008551";1;0
2009;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2009551";1;0
2010;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2010551";1;0
2011;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2011551";1;0
2012;551;"Secretaria de Assuntos Estratégicos";1579334;0;1579334;0;NA;NA;NA;NA;"2012551";1;0
2013;551;"Secretaria de Assuntos Estratégicos";357389882;318693096;4188000;759194;NA;NA;NA;NA;"2013551";1;0
2014;551;"Secretaria de Assuntos Estratégicos";354456906;325768107;5987000;362647;NA;NA;NA;NA;"2014551";1;0
2015;551;"Secretaria de Assuntos Estratégicos";359657989;329529483;2117941;543568;NA;NA;NA;NA;"2015551";1;0
2016;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2016551";0;0
2017;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2017551";1;0
2018;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2018551";1;0
2019;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2019551";1;0
2020;551;"Secretaria de Assuntos Estratégicos";NA;NA;NA;NA;NA;NA;NA;NA;"2020551";1;0
2000;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2000552";0;NA
2001;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2001552";0;NA
2002;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2002552";0;NA
2003;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2003552";0;NA
2004;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2004552";0;NA
2005;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2005552";0;NA
2006;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2006552";0;NA
2007;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2007552";0;NA
2008;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2008552";0;NA
2009;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2009552";0;NA
2010;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2010552";0;NA
2011;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2011552";1;0
2012;552;"Secretaria de Aviação Civil";753882426;0;196515760;0;NA;NA;NA;NA;"2012552";1;0
2013;552;"Secretaria de Aviação Civil";4243180194;1853506401;433475907;71521620;NA;NA;NA;NA;"2013552";1;0
2014;552;"Secretaria de Aviação Civil";4251072417;1873037918;704070693;101438389;NA;NA;NA;NA;"2014552";1;0
2015;552;"Secretaria de Aviação Civil";5535878014;2108566188;482033650;53184105;NA;NA;NA;NA;"2015552";1;0
2016;552;"Secretaria de Aviação Civil";19215236816;2421417962;217572028;16778145;NA;NA;NA;NA;"2016552";0;0
2017;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2017552";0;0
2018;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2018552";0;0
2019;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2019552";0;0
2020;552;"Secretaria de Aviação Civil";NA;NA;NA;NA;NA;NA;NA;NA;"2020552";0;0
2000;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2000557";0;NA
2001;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2001557";0;NA
2002;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2002557";0;NA
2003;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2003557";1;0
2004;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2004557";1;0
2005;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2005557";1;0
2006;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2006557";1;0
2007;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2007557";1;0
2008;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2008557";1;0
2009;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2009557";1;0
2010;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2010557";1;0
2011;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2011557";1;0
2012;557;"Secretaria de Políticas de Promoção da Igualdade Racial";730560;0;730560;0;NA;NA;NA;NA;"2012557";1;0
2013;557;"Secretaria de Políticas de Promoção da Igualdade Racial";56138942;26551931;7811536;489563;NA;NA;NA;NA;"2013557";1;0
2014;557;"Secretaria de Políticas de Promoção da Igualdade Racial";57718698;21350166;11693429;360802;NA;NA;NA;NA;"2014557";1;0
2015;557;"Secretaria de Políticas de Promoção da Igualdade Racial";76703049;17934068;13697069;14335;NA;NA;NA;NA;"2015557";1;0
2016;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2016557";0;0
2017;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2017557";0;0
2018;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2018557";0;0
2019;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2019557";0;0
2020;557;"Secretaria de Políticas de Promoção da Igualdade Racial";NA;NA;NA;NA;NA;NA;NA;NA;"2020557";0;0
2000;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2000751";0;NA
2001;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2001751";0;NA
2002;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2002751";0;NA
2003;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2003751";0;NA
2004;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2004751";0;NA
2005;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2005751";0;NA
2006;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2006751";0;NA
2007;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2007751";0;NA
2008;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2008751";0;NA
2009;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2009751";0;NA
2010;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2010751";0;NA
2011;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2011751";0;NA
2012;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2012751";1;NA
2013;751;"Secretaria Especial da Micro e Pequena Empresa";116547422;7604607;19595000;0;NA;NA;NA;NA;"2013751";1;0
2014;751;"Secretaria Especial da Micro e Pequena Empresa";87152148;51403292;12866679;3838757;NA;NA;NA;NA;"2014751";1;0
2015;751;"Secretaria Especial da Micro e Pequena Empresa";99057930;46435576;16690998;2391541;NA;NA;NA;NA;"2015751";1;0
2016;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2016751";0;0
2017;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2017751";0;0
2018;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2018751";0;0
2019;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2019751";0;0
2020;751;"Secretaria Especial da Micro e Pequena Empresa";NA;NA;NA;NA;NA;NA;NA;NA;"2020751";0;0
2000;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2000561";0;NA
2001;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2001561";0;NA
2002;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2002561";0;NA
2003;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2003561";1;0
2004;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2004561";1;0
2005;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2005561";1;0
2006;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2006561";1;0
2007;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2007561";1;0
2008;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2008561";1;0
2009;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2009561";1;1
2010;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2010561";1;1
2011;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2011561";1;1
2012;561;"Secretaria Especial de Direitos Humanos";24188278;0;24188278;0;NA;NA;NA;NA;"2012561";1;1
2013;561;"Secretaria Especial de Direitos Humanos";366831151;99643344;122121919;1798658;NA;NA;NA;NA;"2013561";1;1
2014;561;"Secretaria Especial de Direitos Humanos";325685270;113328342;126046503;14431340;NA;NA;NA;NA;"2014561";1;1
2015;561;"Secretaria Especial de Direitos Humanos";407373624;89554840;182844380;647000;NA;NA;NA;NA;"2015561";1;1
2016;561;"Secretaria Especial de Direitos Humanos";0;121682;0;0;NA;NA;NA;NA;"2016561";0;1
2017;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2017561";0;1
2018;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2018561";0;1
2019;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2019561";0;1
2020;561;"Secretaria Especial de Direitos Humanos";NA;NA;NA;NA;NA;NA;NA;NA;"2020561";0;1
2000;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2000562";0;NA
2001;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2001562";0;NA
2002;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2002562";0;NA
2003;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2003562";1;0
2004;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2004562";1;0
2005;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2005562";1;0
2006;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2006562";1;0
2007;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2007562";1;0
2008;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2008562";1;0
2009;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2009562";1;0
2010;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2010562";1;0
2011;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2011562";1;0
2012;562;"Secretaria Especial de Políticas para as Mulheres";5981153;0;5981153;0;NA;NA;NA;NA;"2012562";1;0
2013;562;"Secretaria Especial de Políticas para as Mulheres";208555722;46355668;84094460;15666849;NA;NA;NA;NA;"2013562";1;0
2014;562;"Secretaria Especial de Políticas para as Mulheres";219229726;73099258;84846880;11690890;NA;NA;NA;NA;"2014562";1;0
2015;562;"Secretaria Especial de Políticas para as Mulheres";266413888;71194340;109025905;18214493;NA;NA;NA;NA;"2015562";1;0
2016;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2016562";0;0
2017;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2017562";0;0
2018;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2018562";0;0
2019;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2019562";0;0
2020;562;"Secretaria Especial de Políticas para as Mulheres";NA;NA;NA;NA;NA;NA;NA;NA;"2020562";0;0
2000;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2000564";0;NA
2001;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2001564";0;NA
2002;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2002564";0;NA
2003;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2003564";0;NA
2004;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2004564";0;NA
2005;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2005564";0;NA
2006;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2006564";0;NA
2007;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2007564";1;0
2008;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2008564";1;0
2009;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2009564";1;0
2010;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2010564";1;0
2011;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2011564";1;0
2012;564;"Secretaria Nacional de Portos";615046339;0;311950001;0;NA;NA;NA;NA;"2012564";1;0
2013;564;"Secretaria Nacional de Portos";1079608270;183015094;341590831;1249439;NA;NA;NA;NA;"2013564";1;0
2014;564;"Secretaria Nacional de Portos";1523347041;216658040;567395552;30596842;NA;NA;NA;NA;"2014564";1;0
2015;564;"Secretaria Nacional de Portos";1119008932;284762007;454969974;3699739;NA;NA;NA;NA;"2015564";1;0
2016;564;"Secretaria Nacional de Portos";988446871;333181350;471413781;32171814;NA;NA;NA;NA;"2016564";0;0
2017;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2017564";0;0
2018;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2018564";0;0
2019;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2019564";0;0
2020;564;"Secretaria Nacional de Portos";NA;NA;NA;NA;NA;NA;NA;NA;"2020564";0;0
2000;658;"Vice-Presidência da República";3212689;3013712;71000;53676;NA;NA;NA;NA;"2000658";1;NA
2001;658;"Vice-Presidência da República";5104281;3225501;101000;49585;NA;NA;NA;NA;"2001658";1;NA
2002;658;"Vice-Presidência da República";4653439;4039461;355000;144543;NA;NA;NA;NA;"2002658";1;NA
2003;658;"Vice-Presidência da República";4581769;3774621;210000;11727;NA;NA;NA;NA;"2003658";1;0
2004;658;"Vice-Presidência da República";5253179;4767384;110000;107477;NA;NA;NA;NA;"2004658";1;0
2005;658;"Vice-Presidência da República";4855330;4235892;2e+09;6845;NA;NA;NA;NA;"2005658";1;0
2006;658;"Vice-Presidência da República";5243472;4995656;737;470;NA;NA;NA;NA;"2006658";1;0
2007;658;"Vice-Presidência da República";5393837;5276375;103737;75068;NA;NA;NA;NA;"2007658";1;0
2008;658;"Vice-Presidência da República";6596021;6394427;12000;9583;NA;NA;NA;NA;"2008658";1;0
2009;658;"Vice-Presidência da República";6642977;5666945;3e+09;5793;NA;NA;NA;NA;"2009658";1;0
2010;658;"Vice-Presidência da República";7658235;6231162;3e+09;76174;NA;NA;NA;NA;"2010658";1;0
2011;658;"Vice-Presidência da República";7729679;6853598;3e+09;88169;NA;NA;NA;NA;"2011658";1;0
2012;658;"Vice-Presidência da República";9270498;7390782;746667;141174;NA;NA;NA;NA;"2012658";1;0
2013;658;"Vice-Presidência da República";10289470;8125091;2e+09;87139;NA;NA;NA;NA;"2013658";1;0
2014;658;"Vice-Presidência da República";11010229;9030863;250000;187268;NA;NA;NA;NA;"2014658";1;0
2015;658;"Vice-Presidência da República";12315056;9963579;580000;86094;NA;NA;NA;NA;"2015658";1;0
2016;658;"Vice-Presidência da República";11168214;7326897;500260;3249;NA;NA;NA;NA;"2016658";1;0
2017;658;"Vice-Presidência da República";7013455;902506;168123;0;NA;NA;NA;NA;"2017658";1;0
2018;658;"Vice-Presidência da República";3660568;1220053;105621;0;NA;NA;NA;NA;"2018658";1;0
2019;658;"Vice-Presidência da República";19251155;14618158;785856;715817;NA;NA;NA;NA;"2019658";1;1
2020;658;"Vice-Presidência da República";16684566;12058768;1094250;407771;NA;NA;NA;NA;"2020658";1;1
2017;428;"Ministério da Integração Nacional";8711941691;3795148205;5613582970;1183668718;1625;1257;12396;NA;"2017428";1;1
2018;428;"Ministério da Integração Nacional";7304284582;3538869036;4578079109;1348680335;1557;1179;12153;NA;"2018428";1;1
2017;447;"Ministério dos Transportes";26124487611;14657779043;10003831064;5562804953;4961;3424;NA;NA;"2017447";1;1
2018;447;"Ministério dos Transportes";20035633212;12249926243;8428047373;5344537698;4885;3338;NA;NA;"2018447";1;1
