"ano";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"org_limpo";"id_org_limpo";"servidores_superior";"servidores_naosup";"forca_trabalho"
2000;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2001;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2002;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2003;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2004;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2005;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2006;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2007;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2008;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2009;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2010;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2011;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2012;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2013;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2014;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2015;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2016;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2017;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2018;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2019;0;0;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
2020;NA;NA;NA;NA;"Ministério da Segurança Pública";752;NA;NA;NA
1999;NA;NA;NA;NA;"Ministério da Ciência e Tecnologia";422;589;1202;6875
1999;NA;NA;NA;NA;"Ministério da Justiça";429;7536;15912;23113
1999;NA;NA;NA;NA;"Ministério do Planejamento, Orçamento e Gestão";444;13;12;13164
1999;NA;NA;NA;NA;"Ministério da Agricultura, Pecuária e Abastecimento";421;5830;11109;10771
1999;NA;NA;NA;NA;"Ministério da Ciência e Tecnologia";422;1602;2285;6875
1999;NA;NA;NA;NA;"Ministério do Desenvolvimento Social e Combate à Fome";438;24;17;NA
1999;NA;NA;NA;NA;"Ministério da Cultura";423;158;219;2585
1999;NA;NA;NA;NA;"Ministério da Defesa";424;5862;26353;32031
1999;NA;NA;NA;NA;"Ministério da Economia";425;42083;61745;NA
1999;NA;NA;NA;NA;"Ministério da Educação";426;75279;79696;165510
1999;NA;NA;NA;NA;"Ministério da Infra-Estrutura";700;1586;3115;NA
1999;NA;NA;NA;NA;"Ministério da Previdência Social";431;534;809;41566
1999;NA;NA;NA;NA;"Ministério da Saúde";432;39640;72534;110804
1999;NA;NA;NA;NA;"Ministério das Comunicações";434;355;739;1657
1999;NA;NA;NA;NA;"Ministério das Relações Exteriores";435;1991;1203;3051
1999;NA;NA;NA;NA;"Ministério de Minas e Energia";436;1092;1004;1872
1999;NA;NA;NA;NA;"Ministério das Cidades";433;1022;2028;NA
1999;NA;NA;NA;NA;"Ministério do Esporte";440;88;116;185
1999;NA;NA;NA;NA;"Ministério do Meio Ambiente";442;2155;3762;8024
1999;NA;NA;NA;NA;"Ministério do Meio Ambiente";442;2155;3762;4504
1999;NA;NA;NA;NA;"Ministério do Planejamento, Orçamento e Gestão";444;1970;1913;13164
1999;NA;NA;NA;NA;"Ministério do Trabalho e Emprego";445;4452;3242;7863
1999;NA;NA;NA;NA;"Ministério do Turismo";446;1202;1323;NA
1999;NA;NA;NA;NA;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";439;399;361;2580
1999;NA;NA;NA;NA;"Presidência da República";523;2695;4388;2519
1997;NA;NA;NA;NA;"Presidência da República";523;NA;NA;5370
1998;NA;NA;NA;NA;"Presidência da República";523;NA;NA;5401
1997;NA;NA;NA;NA;"AGU - Advocacia Geral da União";27;NA;NA;16
1998;NA;NA;NA;NA;"AGU - Advocacia Geral da União";27;NA;NA;2068
1999;NA;NA;NA;NA;"AGU - Advocacia Geral da União";27;NA;NA;2196
1997;NA;NA;NA;NA;"Ministério da Agricultura, Pecuária e Abastecimento";421;NA;NA;11703
1998;NA;NA;NA;NA;"Ministério da Agricultura, Pecuária e Abastecimento";421;NA;NA;11151
1997;NA;NA;NA;NA;"Ministério das Cidades";433;NA;NA;NA
1998;NA;NA;NA;NA;"Ministério das Cidades";433;NA;NA;NA
1997;NA;NA;NA;NA;"Ministério da Ciência e Tecnologia";422;NA;NA;4571
1998;NA;NA;NA;NA;"Ministério da Ciência e Tecnologia";422;NA;NA;4355
1997;NA;NA;NA;NA;"Ministério das Comunicações";434;NA;NA;1313
1998;NA;NA;NA;NA;"Ministério das Comunicações";434;NA;NA;1322
1997;NA;NA;NA;NA;"Ministério da Cultura";423;NA;NA;2844
1998;NA;NA;NA;NA;"Ministério da Cultura";423;NA;NA;2695
1997;NA;NA;NA;NA;"Ministério da Defesa";424;NA;NA;35362
1998;NA;NA;NA;NA;"Ministério da Defesa";424;NA;NA;33901
1997;NA;NA;NA;NA;"Ministério do Desenvolvimento Agrário";437;NA;NA;6267
1998;NA;NA;NA;NA;"Ministério do Desenvolvimento Agrário";437;NA;NA;6004
1999;NA;NA;NA;NA;"Ministério do Desenvolvimento Agrário";437;NA;NA;5798
1997;NA;NA;NA;NA;"Ministério do Desenvolvimento Social e Combate à Fome";438;NA;NA;NA
1998;NA;NA;NA;NA;"Ministério do Desenvolvimento Social e Combate à Fome";438;NA;NA;NA
1997;NA;NA;NA;NA;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";439;NA;NA;2411
1998;NA;NA;NA;NA;"Ministério do Desenvolvimento, Indústria e Comércio Exterior";439;NA;NA;2335
1997;NA;NA;NA;NA;"Ministério da Educação";426;NA;NA;174966
1998;NA;NA;NA;NA;"Ministério da Educação";426;NA;NA;168403
1997;NA;NA;NA;NA;"Ministério do Esporte";440;NA;NA;169
1998;NA;NA;NA;NA;"Ministério do Esporte";440;NA;NA;159
1997;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;26207
1998;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;28080
1999;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;26958
2000;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;25331
2001;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;26098
2002;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;26297
2003;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;25622
2004;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;26098
2005;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;26404
2006;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;28672
2007;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;33233
2008;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;33033
2009;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;34301
2010;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;35380
2011;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;34348
2012;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;33292
2013;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;33228
2014;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;33075
2015;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;32673
2016;NA;NA;NA;NA;"Ministério da Fazenda";427;NA;NA;31857
1997;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;NA
1998;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;NA
1999;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;184
2000;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;3905
2001;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2480
2002;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2537
2003;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2469
2004;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2764
2005;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2674
2006;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2667
2007;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2719
2008;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2759
2009;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2793
2010;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;3060
2011;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2962
2012;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2871
2013;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2930
2014;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2798
2015;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2675
2016;NA;NA;NA;NA;"Ministério da Integração Nacional";428;NA;NA;2571
1997;NA;NA;NA;NA;"Ministério da Justiça";429;NA;NA;23261
1998;NA;NA;NA;NA;"Ministério da Justiça";429;NA;NA;22490
1997;NA;NA;NA;NA;"Ministério do Meio Ambiente";442;NA;NA;8609
1998;NA;NA;NA;NA;"Ministério do Meio Ambiente";442;NA;NA;8322
1997;NA;NA;NA;NA;"Ministério de Minas e Energia";436;NA;NA;2000
1998;NA;NA;NA;NA;"Ministério de Minas e Energia";436;NA;NA;2030
1997;NA;NA;NA;NA;"Ministério do Planejamento, Orçamento e Gestão";444;NA;NA;16072
1998;NA;NA;NA;NA;"Ministério do Planejamento, Orçamento e Gestão";444;NA;NA;14088
1997;NA;NA;NA;NA;"Ministério da Pesca e Aquicultura";430;NA;NA;NA
1998;NA;NA;NA;NA;"Ministério da Pesca e Aquicultura";430;NA;NA;NA
1999;NA;NA;NA;NA;"Ministério da Pesca e Aquicultura";430;NA;NA;NA
1997;NA;NA;NA;NA;"Ministério da Previdência Social";431;NA;NA;45718
1998;NA;NA;NA;NA;"Ministério da Previdência Social";431;NA;NA;43789
1997;NA;NA;NA;NA;"Ministério das Relações Exteriores";435;NA;NA;3099
1998;NA;NA;NA;NA;"Ministério das Relações Exteriores";435;NA;NA;3140
1997;NA;NA;NA;NA;"Ministério da Saúde";432;NA;NA;123159
1998;NA;NA;NA;NA;"Ministério da Saúde";432;NA;NA;116862
1997;NA;NA;NA;NA;"Ministério do Trabalho e Emprego";445;NA;NA;8126
1998;NA;NA;NA;NA;"Ministério do Trabalho e Emprego";445;NA;NA;7810
1997;NA;NA;NA;NA;"Ministério do Meio Ambiente";442;NA;NA;5235
1998;NA;NA;NA;NA;"Ministério do Meio Ambiente";442;NA;NA;4742
1997;NA;NA;NA;NA;"Ministério do Turismo";446;NA;NA;NA
1998;NA;NA;NA;NA;"Ministério do Turismo";446;NA;NA;NA
