rownum,nome,nome_padrao,nome_padrao_v2,nome_padrao_v1
57,Adriano Mendonça Ponte,Adriano Mendonça Ponte,Adriano Mendonça Ponte,Adriano Mendonça Ponte
58,Adriano Santhiago,Adriano Santhiago de Oliveira,Adriano Santhiago de Oliveira,Adriano Santhiago
59,Adriano Santhiago De Oliveira,Adriano Santhiago de Oliveira,Adriano Santhiago de Oliveira,Adriano Santhiago De Oliveira
60,Adriano Silva Pucci,Adriano Silva Pucci,Adriano Silva Pucci,Adriano Silva Pucci
61,Adriano Venditti,Adriano Venditti,Adriano Venditti,Adriano Venditti
62,Aécio Neves,Aécio Neves,Aécio Neves,Aécio Neves
63,Affonso Camargo,Affonso Camargo,Affonso Camargo,Affonso Camargo
64,Affonso Celso Ouro-Preto,Affonso Celso de Ouro-Preto,Affonso Celso de Ouro-Preto,Affonso Celso Ouro-Preto
65,Affonso Ouro-Preto,Affonso Celso de Ouro-Preto,Affonso Celso de Ouro-Preto,Affonso Ouro-Preto
66,Afonso Barvosa,Afonso Barvosa,Afonso Barvosa,Afonso Barvosa
67,Afonso Celso Candeira Valois,Afonso Celso Candeira Valois,Afonso Celso Candeira Valois,Afonso Celso Candeira Valois
68,Afonso Emílio De Alencastro Massot,Afonso Emílio de Alencastro Massot,Afonso Emílio de Alencastro Massot,Afonso Emílio De Alencastro Massot
69,Afonso Florence,Afonso Florence,Afonso Florence,Afonso Florence
70,Afonso Oliveira De Almeida,Afonso Oliveira de Almeida,Afonso Oliveira De Almeida,Afonso Oliveira De Almeida
71,Agenor Francisco Homem de Carvalho,Agenor Francisco Homem de Carvalho,Agenor Francisco Homem de Carvalho,Agenor Francisco Homem de Carvalho
72,Agnelo Queiroz,Agnelo Queiroz,Agnelo Queiroz,Agnelo Queiroz
73,Agnieszka Ewa Latawiec,Agnieszka Ewa Latawiec,Agnieszka Ewa Latawiec,Agnieszka Ewa Latawiec
74,Agostinho Guerreiro,Agostinho Guerreiro,Agostinho Guerreiro,Agostinho Guerreiro
75,Aguinaldo Velloso Borges Ribeiro,Aguinaldo Velloso Borges Ribeiro,Aguinaldo Velloso Borges Ribeiro,Aguinaldo Velloso Borges Ribeiro
76,Aimone Camardella,Aimone Camardella,Aimone Camardella,Aimone Camardella
77,Airton Vieira de Souza,Airton Vieira de Souza,Airton Vieira de Souza,Airton Vieira de Souza
78,Aiton Fernando Dias,Aiton Fernando Dias,Aiton Fernando Dias,Aiton Fernando Dias
79,Aladim Fernando Cerqueira,Aladim Fernando Cerqueira,Aladim Fernando Cerqueira,Aladim Fernando Cerqueira
80,Alan Cavalcanti da Cunha,Alan Cavalcanti da Cunha,Alan Cavalcanti da Cunha,Alan Cavalcanti da Cunha
81,Alaor Caffé Alves,Alaor Caffé Alves,Alaor Caffé Alves,Alaor Caffé Alves
82,Alaor M. Dallantonia,Alaor Moacyr Dall'Antonia,Alaor M. Dallantonia,Alaor M. Dallantonia
83,Albaneide Peixinho,Albaneide Peixinho,Albaneide Peixinho,Albaneide Peixinho
84,Albano Chagas Vieira,Albano Chagas Vieira,Albano Chagas Vieira,Albano Chagas Vieira
85,Albano do Prado Franco,Albano do Prado Franco,Albano do Prado Franco,Albano do Prado Franco
86,Albert Brasil Gradvohl,Albert Brasil Gradvohl,Albert Brasil Gradvohl,Albert Brasil Gradvohl
87,Albert Cordeiro Geber de Melo,Albert Cordeiro Geber de Melo,Albert Cordeiro Geber de Melo,Albert Cordeiro Geber de Melo
88,Alberto Augusto Moraes mVieira Alvas,Alberto Augusto Moraes Vieira Alvas,Alberto Augusto Moraes mVieira Alvas,Alberto Augusto Moraes mVieira Alvas
89,Alberto Broch,Alberto Ercílio Broch,Alberto Ercílio Broch,Alberto Broch
90,Alberto Carrizo,Alberto Carrizo,Alberto Carrizo,Alberto Carrizo
91,Alberto Ercilio Broch,Alberto Ercílio Broch,Alberto Ercílio Broch,Alberto Ercilio Broch
92,Alberto Kleiman,Alberto Kleiman,Alberto Kleiman,Alberto Kleiman
93,Alberto Mayer,Alberto Mayer,Alberto Mayer,Alberto Mayer
94,Alberto Pereira Goes,Alberto Pereira Góes,,Alberto Pereira Góes
95,Alberto Pereira Góes,Alberto Pereira Góes,,Alberto Pereira Góes
96,Alberto Rocha,Alberto Rocha Neto,Alberto Rocha Neto,Alberto Rocha
97,Alberto Rocha Neto,Alberto Rocha Neto,Alberto Rocha Neto,Alberto Rocha Neto
98,Alberto Tavares Pereira Junior,Alberto Tavares Pereira Júnior,,Alberto Tavares Pereira Júnior
99,Alberto Tavares Pereira Júnior,Alberto Tavares Pereira Júnior,,Alberto Tavares Pereira Júnior
100,Alberto Walter De Oliveira,Alberto Walter de Oliveira,Alberto Walter De Oliveira,Alberto Walter De Oliveira
101,Albidas José de Sousa Junior,Abidias José de Sousa Júnior,Albidas José de Sousa Junior,Albidas José de Sousa Junior
102,Albino Ernesto Poli Júnior,Albino Ernesto Poli Júnior,Albino Ernesto Poli Júnior,Albino Ernesto Poli Júnior
103,Albuíno Cunha de Azeredo,Albuíno Cunha de Azeredo,Albuíno Cunha de Azeredo,Albuíno Cunha de Azeredo
104,Alceu de Deus Collares,Alceu de Deus Collares,Alceu de Deus Collares,Alceu de Deus Collares
105,Alcilene Freitas Bertholdo De Faria,Alcilene Freitas Bertholdo de Faria,Alcilene Freitas Bertholdo De Faria,Alcilene Freitas Bertholdo De Faria
106,Alcir José Tomasi,Alcir José Tomasi,Alcir José Tomasi,Alcir José Tomasi
107,Alcir Rebello,Alcir Rebello,Alcir Rebello,Alcir Rebello
108,Alda Lerayer,Alda Lerayer,Alda Lerayer,Alda Lerayer
109,Aldalice Otterloo,Aldalice Otterloo,Aldalice Otterloo,Aldalice Otterloo
110,Aldem Bourscheit Cezarino,Aldem Bourscheit Cezarino,Aldem Bourscheit Cezarino,Aldem Bourscheit Cezarino
111,Aldemir Bendine,Aldemir Bendine,Aldemir Bendine,Aldemir Bendine
112,Aldenir Chaves Paraguassu,Aldenir Chaves Paraguassu,Aldenir Chaves Paraguassu,Aldenir Chaves Paraguassu
113,Aldenor Sobrinha Barbosa,Aldenor Sobrinha Barbosa,Aldenor Sobrinha Barbosa,Aldenor Sobrinha Barbosa
114,Aldo Loreto,Aldo Loreto,Aldo Loreto,Aldo Loreto
115,Aldo Matsuhiro Miyaguti,Aldo Matsuhiro Miyaguti,Aldo Matsuhiro Miyaguti,Aldo Matsuhiro Miyaguti
116,Aldo Silva Arantes,Aldo Silva Arantes,Aldo Silva Arantes,Aldo Silva Arantes
117,Aldrin Martin Perez Marin,Aldrin Martin Perez Marin,Aldrin Martin Perez Marin,Aldrin Martin Perez Marin
118,Aleides Rigeri Rivaldi,Aleides Rigeri Rivaldi,Aleides Rigeri Rivaldi,Aleides Rigeri Rivaldi
119,Alessandra Aparecida Gayoso Franco de Toledo,Alessandra Aparecida Gayoso Franco de Toledo,Alessandra Aparecida Gayoso Franco de Toledo,Alessandra Aparecida Gayoso Franco de Toledo
120,Alessandra da Costa Lunas,Alessandra da Costa Lunas Santos,Alessandra da Costa Lunas Santos,Alessandra da Costa Lunas
121,Alessandra Da Costa Lunas Santos,Alessandra da Costa Lunas Santos,Alessandra da Costa Lunas Santos,Alessandra Da Costa Lunas Santos
122,Alessandra Da Mota Mathyas,Alessandra da Mota Mathyas,Alessandra Da Mota Mathyas,Alessandra Da Mota Mathyas
123,Alessandra Lustosa Barros,Alessandra Lustosa Barros,Alessandra Lustosa Barros,Alessandra Lustosa Barros
124,Alessandra Magrini,Alessandra Magrini,Alessandra Magrini,Alessandra Magrini
125,Alessandra Pancher,Alessandra Pancher,Alessandra Pancher,Alessandra Pancher
126,Alessandra Peruzzo Schwartz,Alessandra Peruzzo Schwartz,Alessandra Peruzzo Schwartz,Alessandra Peruzzo Schwartz
127,Alessandra Rodrigues Gomes,Alessandra Rodrigues Gomes,Alessandra Rodrigues Gomes,Alessandra Rodrigues Gomes
128,Alessandra Simiema,Alessandra Simiema,Alessandra Simiema,Alessandra Simiema
129,Alessandro Belisario,Alessandro Magno Damasceno Belisário,Alessandro Belisario,Alessandro Belisario
130,Alessandro Carlucci,Alessandro Carlucci,Alessandro Carlucci,Alessandro Carlucci
131,Alessandro Golombiewski,Alessandro Golombiewski,Alessandro Golombiewski,Alessandro Golombiewski
132,Alessandro Gomes,Alessandro Gomes,Alessandro Gomes,Alessandro Gomes
133,Alessandro Magno Damasceno Belisário,Alessandro Magno Damasceno Belisário,Alessandro Magno Damasceno Belisário,Alessandro Magno Damasceno Belisário
134,Alessandro Molon,Alessandro Molon,Alessandro Molon,Alessandro Molon
135,Alessandro Panasolo,Alessandro Panasolo,,Alessandro Panasolo
136,Alessandro Panassolo,Alessandro Panasolo,,Alessandro Panasolo
137,Alessandro Rezende Pinto,Alessandro Rezende Pinto,Alessandro Rezende Pinto,Alessandro Rezende Pinto
138,Alessandro Rosa,Alessandro Rosa,Alessandro Rosa,Alessandro Rosa
139,Alessandro Warley Candeas,Alessandro Warley Candeas,Alessandro Warley Candeas,Alessandro Warley Candeas
140,Alethea Brito Muniz,Alethea Brito Muniz,Alethea Brito Muniz,Alethea Brito Muniz
141,Alethea Pennati Migita,Alethea Pennati Migita,Alethea Pennati Migita,Alethea Pennati Migita
142,Alex Christian Kamber,Alex Christian Kamber,Alex Christian Kamber,Alex Christian Kamber
143,Alex Giacomelli da Silva,Alex Giacomelli da Silva,Alex Giacomelli da Silva,Alex Giacomelli da Silva
144,Alex Guimarães,Alex Guimarães,Alex Guimarães,Alex Guimarães
145,Alex Manente,Alex Manente,Alex Manente,Alex Manente
146,Alex Marcos Barbosa Santos,Alex Marcos Barbosa Santos,Alex Marcos Barbosa Santos,Alex Marcos Barbosa Santos
147,Alex Sandro Antonio Marega,Alex Sandro Antonio Marega,Alex Sandro Antonio Marega,Alex Sandro Antonio Marega
148,Alexander Torres Maia,Alexander Torres Maia,Alexander Torres Maia,Alexander Torres Maia
149,Alexandra Costa,Alexandra Costa,Alexandra Costa,Alexandra Costa
150,Alexandra De Avila Ribeiro,Alexandra de Avila Ribeiro,Alexandra De Avila Ribeiro,Alexandra De Avila Ribeiro
151,Alexandra Grieco,Alexandra Grieco,Alexandra Grieco,Alexandra Grieco
152,Alexandra Gurgel Valente Da,Alexandra Gurgel Valente da Costa,Alexandra Gurgel Valente da Costa,Alexandra Gurgel Valente Da
153,Alexandra Gurgel Valente da Costa,Alexandra Gurgel Valente da Costa,Alexandra Gurgel Valente da Costa,Alexandra Gurgel Valente da Costa
154,Alexandra Maciel,Alexandra Maciel,Alexandra Maciel,Alexandra Maciel
155,Alexandra Reschke,Alexandra Reschke,Alexandra Reschke,Alexandra Reschke
156,Alexandre Alberto Henklain Fonseca,Alexandre Alberto Henklain Fonseca,Alexandre Alberto Henklain Fonseca,Alexandre Alberto Henklain Fonseca
157,Alexandre Antonio Tombini,Alexandre Antonio Tombini,Alexandre Antonio Tombini,Alexandre Antonio Tombini
158,Alexandre Bahia Gontijo,Alexandre Bahia Gontijo,Alexandre Bahia Gontijo,Alexandre Bahia Gontijo
159,Alexandre Bernt,Alexandre Bernt,Alexandre Bernt,Alexandre Bernt
160,Alexandre Betinardi Strapasson,Alexandre Betinardi Strapasson,Alexandre Betinardi Strapasson,Alexandre Betinardi Strapasson
161,Alexandre Borges Cabral,Alexandre Borges Cabral,Alexandre Borges Cabral,Alexandre Borges Cabral
162,Alexandre Brasil,Alexandre Brasil,Alexandre Brasil,Alexandre Brasil
163,Alexandre Camanho de Assis,Alexandre Camanho de Assis,Alexandre Camanho de Assis,Alexandre Camanho de Assis
164,Alexandre Campello de Siqueira,Alexandre Campello de Siqueira,Alexandre Campello de Siqueira,Alexandre Campello de Siqueira
165,Alexandre Comin,Alexandre Comin,Alexandre Comin,Alexandre Comin
166,Alexandre Cordeiro Macedo,Alexandre Cordeiro Macedo,Alexandre Cordeiro Macedo,Alexandre Cordeiro Macedo
167,Alexandre Curvelo De Almeida Prado,Alexandre Curvelo de Almeida Prado,Alexandre Curvelo De Almeida Prado,Alexandre Curvelo De Almeida Prado
168,Alexandre Davignon,Alexandre Louis de Almeida D'Avignon,Alexandre Davignon,Alexandre Davignon
169,Alexandre de Azevedo Silveira,Alexandre de Azevedo Silveira,Alexandre de Azevedo Silveira,Alexandre de Azevedo Silveira
170,Alexandre Ernesto Corrêa Sampaio,Alexandre Ernesto Corrêa Sampaio,Alexandre Ernesto Corrêa Sampaio,Alexandre Ernesto Corrêa Sampaio
171,Alexandre Fernandes,Alexandre Fernandes,Alexandre Fernandes,Alexandre Fernandes
172,Alexandre Frascari,Alexandre Frascari,Alexandre Frascari,Alexandre Frascari
173,Alexandre Godinho,Alexandre Godinho,Alexandre Godinho,Alexandre Godinho
174,Alexandre Goncalves,Alexandre Goncalves,Alexandre Goncalves,Alexandre Goncalves
175,Alexandre Henrique Scultori De Azevedo Silva,Alexandre Henrique Scultori de Azevedo Silva,Alexandre Henrique Scultori De Azevedo Silva,Alexandre Henrique Scultori De Azevedo Silva
176,Alexandre José Adriano (Xandrinho),Alexandre José Adriano (Xandrinho),Alexandre José Adriano (Xandrinho),Alexandre José Adriano (Xandrinho)
177,Alexandre Kirovsky,Alexandre Lantelme Kirovsky,Alexandre Lantelme Kirovsky,Alexandre Kirovsky
178,Alexandre Lanteime Kirovsky,Alexandre Lantelme Kirovsky,Alexandre Lantelme Kirovsky,Alexandre Lanteime Kirovsky
179,Alexandre Louis De Almeida,Alexandre Louis de Almeida D'Avignon,Alexandre Louis de Almeida D'Avignon,Alexandre Louis De Almeida
180,Alexandre Louis De Almeida DAvignon,Alexandre Louis de Almeida D'Avignon,Alexandre Louis de Almeida D'Avignon,Alexandre Louis De Almeida DAvignon
181,Alexandre Luiz Moura,Alexandre Luiz Moura,Alexandre Luiz Moura,Alexandre Luiz Moura
182,Alexandre Melo Soares,Alexandre Melo Soares,Alexandre Melo Soares,Alexandre Melo Soares
183,Alexandre Mendes Nina,Alexandre Mendes Nina,Alexandre Mendes Nina,Alexandre Mendes Nina
184,Alexandre Moreira Baltar,Alexandre Moreira Baltar,Alexandre Moreira Baltar,Alexandre Moreira Baltar
185,Alexandre Moreira Palma,Alexandre Moreira Palma,Alexandre Moreira Palma,Alexandre Moreira Palma
186,Alexandre Padilha,Alexandre Padilha,Alexandre Padilha,Alexandre Padilha
187,Alexandre Pinheiro De Moraes Rego,Alexandre Pinheiro de Moraes Rego,Alexandre Pinheiro De Moraes Rego,Alexandre Pinheiro De Moraes Rego
188,Alexandre Postal,Alexandre Postal,Alexandre Postal,Alexandre Postal
189,Alexandre Ramos Peixoto,Alexandre Ramos Peixoto,Alexandre Ramos Peixoto,Alexandre Ramos Peixoto
190,Alexandre Resende Tofeti,Alexandre Resende Tofeti,Alexandre Resende Tofeti,Alexandre Resende Tofeti
191,Alexandre Sansão,Alexandre Sansão,Alexandre Sansão,Alexandre Sansão
192,Alexandre Santos,Alexandre Santos,Alexandre Santos,Alexandre Santos
193,Alexandre Tadeu de Moraes Rodrigues,Alexandre Tadeu de Moraes Rodrigues,,Alexandre Tadeu de Moraes Rodrigues
194,Alexandre Tadeu De Moraes Rodrigues,Alexandre Tadeu de Moraes Rodrigues,,Alexandre Tadeu de Moraes Rodrigues
195,Alexandre Ubaldo Monteiro Barbosa,Alexandre Ubaldo Monteiro Barbosa,Alexandre Ubaldo Monteiro Barbosa,Alexandre Ubaldo Monteiro Barbosa
196,Alexandre Valadares Mello,Alexandre Valadares Mello,,Alexandre Valadares Mello
197,Alexandre Valaderes Mello,Alexandre Valadares Mello,,Alexandre Valadares Mello
198,Alexandre Ywata De Carvalho,Alexandre Ywata de Carvalho,Alexandre Ywata De Carvalho,Alexandre Ywata De Carvalho
199,Alexandrina S. de Moura,Alexandrina Saldanha Sobreira de Moura,Alexandrina S. de Moura,Alexandrina S. de Moura
200,Alexandrina Saldanha Sobreira de Moura,Alexandrina Saldanha Sobreira de Moura,Alexandrina Saldanha Sobreira de Moura,Alexandrina Saldanha Sobreira de Moura
201,Alexandrina Sobreira de Moura,Alexandrina Saldanha Sobreira de Moura,Alexandrina Saldanha Sobreira de Moura,Alexandrina Sobreira de Moura
202,Alexandro De Castro Silva,Alexandro de Castro Silva,Alexandro De Castro Silva,Alexandro De Castro Silva
203,Alfred Szwarc,Alfred Szwarc,Alfred Szwarc,Alfred Szwarc
207,Alfredo Padovani,Alfredo Padovani,Alfredo Padovani,Alfredo Padovani
210,Alice Dos Santos,Alice dos Santos,Alice Dos Santos,Alice Dos Santos
211,Alice Pessoa de Abreu,Alice Pessoa de Abreu,Alice Pessoa de Abreu,Alice Pessoa de Abreu
212,Alice Portugal,Alice Portugal,Alice Portugal,Alice Portugal
213,Alice Reiko Nobumoto Christofoletti,Alice Reiko Nobumoto Christofoletti,Alice Reiko Nobumoto Christofoletti,Alice Reiko Nobumoto Christofoletti
214,Alicia Maria Amancio Da Silva,Alicia Maria Amancio da Silva,Alicia Maria Amancio Da Silva,Alicia Maria Amancio Da Silva
215,Aline Alves Sales Andrade,Aline Alves Sales Andrade,Aline Alves Sales Andrade,Aline Alves Sales Andrade
216,Aline Correa,Aline Correa,Aline Correa,Aline Correa
217,Aline Dieguez Barreiro De Meneses Silva,Aline Dieguez Barreiro de Meneses Silva,Aline Dieguez Barreiro De Meneses Silva,Aline Dieguez Barreiro De Meneses Silva
218,Aline Ferreira Lima de Albuquerque,Aline Ferreira Lima de Albuquerque,Aline Ferreira Lima de Albuquerque,Aline Ferreira Lima de Albuquerque
219,Aline Migliacci Vieira,Aline Migliacci Vieira,Aline Migliacci Vieira,Aline Migliacci Vieira
220,Aline Regina Fernandes,Aline Regina Fernandes,Aline Regina Fernandes,Aline Regina Fernandes
221,Aline Soares,Aline Soares,Aline Soares,Aline Soares
222,Allan Kardec Moreira Milhomens,Allan Kardec Moreira Milhomens,Allan Kardec Moreira Milhomens,Allan Kardec Moreira Milhomens
228,Almir Lima Nascimento,Almir Lima Nascimento,Almir Lima Nascimento,Almir Lima Nascimento
229,Almir Surui,Almir Surui,Almir Surui,Almir Surui
230,Aloisio De Gayoso Ribeiro,Aloisio de Gayoso Ribeiro,Aloisio De Gayoso Ribeiro,Aloisio De Gayoso Ribeiro
231,Aloisio Gonçalves Costa Junior,Aloisio Gonçalves Costa Junior,Aloisio Gonçalves Costa Junior,Aloisio Gonçalves Costa Junior
232,Aloisio Lopes Pereira de Melo,Aloisio Lopes Pereira de Melo,,Aloisio Lopes Pereira de Melo
233,Aloisio Lopes Pereira De Melo,Aloisio Lopes Pereira de Melo,,Aloisio Lopes Pereira de Melo
