;orgao;ano;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest
554;53000 - Ministério do Desenvolvimento Regional;2007;10838557940;6216999628;4200408959;446998559
555;53000 - Ministério do Desenvolvimento Regional;2008;13494942705;7878998890;5497814993;593054035
556;53000 - Ministério do Desenvolvimento Regional;2009;14838806373;8628942889;5658201370;1331822946
557;53000 - Ministério do Desenvolvimento Regional;2010;9186117398;3911960278;7171064499;2289914286
558;53000 - Ministério do Desenvolvimento Regional;2011;7639556196;2375274867;5527806886;780030755
559;53000 - Ministério do Desenvolvimento Regional;2012;12494846403;3596446683;9261998068;1348124053
560;53000 - Ministério do Desenvolvimento Regional;2013;12305953802;4988364194;7368349347;1932090230
561;53000 - Ministério do Desenvolvimento Regional;2014;11225483616;4446702365;7506030069;1747999598
562;53000 - Ministério do Desenvolvimento Regional;2015;9038678914;3479024827;5911675354;1139206856
563;53000 - Ministério do Desenvolvimento Regional;2016;7803631742;3875131166;5121455551;1562317122
564;53000 - Ministério do Desenvolvimento Regional;2017;8711941691;3795148205;5613582970;1183668718
565;53000 - Ministério do Desenvolvimento Regional;2018;7304284582;3538869037;4578079109;1348680335
566;53000 - Ministério do Desenvolvimento Regional;2019;18958684391;10691594811;9408593370;2139219093
567;53000 - Ministério do Desenvolvimento Regional;2020;19501005933;9107596968;11886431604;2752398682
568;54000 - Ministério do Turismo;2000;NA;NA;NA;NA
569;54000 - Ministério do Turismo;2001;NA;NA;NA;NA
570;54000 - Ministério do Turismo;2002;NA;NA;NA;NA
571;54000 - Ministério do Turismo;2003;377764313;87628267;216778500;6978410
572;54000 - Ministério do Turismo;2004;508305851;252981788;252700498;87812215
573;54000 - Ministério do Turismo;2005;1037087878;333079613;649807883;87964077
574;54000 - Ministério do Turismo;2006;1702161649;682269820;1310069071;387978415
575;54000 - Ministério do Turismo;2007;2102299225;600547529;1548598000;219698579
576;54000 - Ministério do Turismo;2008;3026665318;546429168;2258686364;87236906
577;54000 - Ministério do Turismo;2009;2949811567;557868582;2090875007;32398033
578;54000 - Ministério do Turismo;2010;4224224349;640386030;3111162217;85101412
579;54000 - Ministério do Turismo;2011;3728918622;250374880;2613914832;10548993
580;54000 - Ministério do Turismo;2012;3495052294;295696609;2836289684;15754132
581;54000 - Ministério do Turismo;2013;3641532245;272437681;3160667852;13919457
582;54000 - Ministério do Turismo;2014;1622486104;244981149;1195143609;18601689
583;54000 - Ministério do Turismo;2015;2067231552;195301597;1559138681;2853911
584;54000 - Ministério do Turismo;2016;1054310429;212831095;691445767;3877533
585;54000 - Ministério do Turismo;2017;986213262;205096946;671211594;16038631
586;54000 - Ministério do Turismo;2018;1246779682;235243340;961791666;17890336
587;54000 - Ministério do Turismo;2019;935617833;177042391;607554564;1938674
588;54000 - Ministério do Turismo;2020;2176069758;646995357;868417269;22592925
589;55000 - Ministério da Cidadania;2000;NA;NA;NA;NA
590;55000 - Ministério da Cidadania;2001;NA;NA;NA;NA
591;55000 - Ministério da Cidadania;2002;NA;NA;NA;NA
592;55000 - Ministério da Cidadania;2003;5743362676;5352895289;111591173;769403
593;55000 - Ministério da Cidadania;2004;14336507580;13597714547;184612603;87399371
594;55000 - Ministério da Cidadania;2005;15997744394;15511819816;184526373;87350943
595;55000 - Ministério da Cidadania;2006;22597154985;21286274568;203600940;89468106
596;55000 - Ministério da Cidadania;2007;24864390988;24503304223;233460159;83403362
597;55000 - Ministério da Cidadania;2008;29123434885;28451367463;196542219;77039770
598;55000 - Ministério da Cidadania;2009;34330823091;32961325721;319573896;103142080
599;55000 - Ministério da Cidadania;2010;39738117581;38984810525;365917945;163712399
600;55000 - Ministério da Cidadania;2011;46311314202;45177098214;516782778;293878786
601;55000 - Ministério da Cidadania;2012;58053341582;53855204289;1468229485;374972333
602;55000 - Ministério da Cidadania;2013;65114037322;60300380622;1008141861;58001302
603;55000 - Ministério da Cidadania;2014;71291877788;67177797342;806726374;208661896
604;55000 - Ministério da Cidadania;2015;75418639201;70065267417;422690964;22604510
605;55000 - Ministério da Cidadania;2016;81090014180;78590768606;258974908;101352515
606;55000 - Ministério da Cidadania;2017;6,63E+16;6,42E+16;300561973;25682818
607;55000 - Ministério da Cidadania;2018;6,96E+16;6,55E+16;477642533;158323010
608;55000 - Ministério da Cidadania;2019;1,02E+16;95369508509;1070427055;143396025
609;55000 - Ministério da Cidadania;2020;4,15E+16;3,79E+15;650378883;89741537
610;56000 - Ministério das Cidades;2000;NA;NA;NA;NA
611;56000 - Ministério das Cidades;2001;NA;NA;NA;NA
612;56000 - Ministério das Cidades;2002;NA;NA;NA;NA
613;56000 - Ministério das Cidades;2003;3202935590;1036238525;1930777706;161817093
614;56000 - Ministério das Cidades;2004;2970074595;1399373599;1496374193;434751917
615;56000 - Ministério das Cidades;2005;4497383091;1127891939;2725448065;154830876
616;56000 - Ministério das Cidades;2006;5103413785;1252860335;3324207681;202283747
617;56000 - Ministério das Cidades;2007;9101566191;1690340701;6797047086;154179514
618;56000 - Ministério das Cidades;2008;8728338285;1912206039;7403817721;1084430659
619;56000 - Ministério das Cidades;2009;15314807771;4357269972;8682383290;1913670899
620;56000 - Ministério das Cidades;2010;16200331984;2527020933;8013808801;1509713595
621;56000 - Ministério das Cidades;2011;22252255913;2369272777;7637883953;749100246
622;56000 - Ministério das Cidades;2012;28548587382;4600112850;11742209781;1151816390
623;56000 - Ministério das Cidades;2013;26771145488;8315935666;9895761730;639080382
624;56000 - Ministério das Cidades;2014;27178004786;13117350258;8256158955;837188636
625;56000 - Ministério das Cidades;2015;37258179368;17038693720;10194843072;332828405
626;56000 - Ministério das Cidades;2016;13123253217;8868522766;3579497479;684749904
627;56000 - Ministério das Cidades;2017;11224846110;6234180943;4770559112;1269041971
628;56000 - Ministério das Cidades;2018;11235923147;6839792044;3814962805;797993254
629;56000 - Ministério das Cidades;2019;NA;NA;NA;NA
630;56000 - Ministério das Cidades;2020;NA;NA;NA;NA
631;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2000;NA;NA;NA;NA
632;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2001;NA;NA;NA;NA
633;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2002;NA;NA;NA;NA
634;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2003;NA;NA;NA;NA
635;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2004;NA;NA;NA;NA
636;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2005;NA;NA;NA;NA
637;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2006;NA;NA;NA;NA
638;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2007;NA;NA;NA;NA
639;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2008;NA;NA;NA;NA
640;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2009;NA;NA;NA;NA
641;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2010;NA;NA;NA;NA
642;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2011;NA;NA;NA;NA
643;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2012;NA;NA;NA;NA
644;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2013;NA;NA;NA;NA
645;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2014;NA;NA;NA;NA
646;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2015;NA;NA;NA;NA
647;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2016;451452712;190833241;82375998;2672976
648;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2017;NA;NA;NA;NA
649;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2018;NA;NA;NA;NA
650;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2019;NA;NA;NA;NA
651;57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;2020;NA;NA;NA;NA
652;58000 - Ministério da Pesca e Aquicultura;2000;NA;NA;NA;NA
653;58000 - Ministério da Pesca e Aquicultura;2001;NA;NA;NA;NA
654;58000 - Ministério da Pesca e Aquicultura;2002;NA;NA;NA;NA
655;58000 - Ministério da Pesca e Aquicultura;2003;NA;NA;NA;NA
656;58000 - Ministério da Pesca e Aquicultura;2004;NA;NA;NA;NA
657;58000 - Ministério da Pesca e Aquicultura;2005;NA;NA;NA;NA
658;58000 - Ministério da Pesca e Aquicultura;2006;NA;NA;NA;NA
659;58000 - Ministério da Pesca e Aquicultura;2007;NA;NA;NA;NA
660;58000 - Ministério da Pesca e Aquicultura;2008;NA;NA;NA;NA
661;58000 - Ministério da Pesca e Aquicultura;2009;36159028;0;36158028;0
662;58000 - Ministério da Pesca e Aquicultura;2010;773885765;171109400;421342081;53376213
663;58000 - Ministério da Pesca e Aquicultura;2011;559749826;108093267;281669505;4301154
664;58000 - Ministério da Pesca e Aquicultura;2012;344216968;108172287;137686019;9450821
665;58000 - Ministério da Pesca e Aquicultura;2013;637355327;124455772;348563473;10047540
666;58000 - Ministério da Pesca e Aquicultura;2014;431885901;124926390;191669164;4268501
667;58000 - Ministério da Pesca e Aquicultura;2015;774623177;104017982;439111063;651129
668;58000 - Ministério da Pesca e Aquicultura;2016;0;0;0;0
669;58000 - Ministério da Pesca e Aquicultura;2017;NA;NA;NA;NA
670;58000 - Ministério da Pesca e Aquicultura;2018;NA;NA;NA;NA
671;58000 - Ministério da Pesca e Aquicultura;2019;NA;NA;NA;NA
672;58000 - Ministério da Pesca e Aquicultura;2020;NA;NA;NA;NA
673;60000 - Gabinete da Vice-Presidência da República;2000;NA;NA;NA;NA
674;60000 - Gabinete da Vice-Presidência da República;2001;NA;NA;NA;NA
675;60000 - Gabinete da Vice-Presidência da República;2002;NA;NA;NA;NA
676;60000 - Gabinete da Vice-Presidência da República;2003;NA;NA;NA;NA
677;60000 - Gabinete da Vice-Presidência da República;2004;NA;NA;NA;NA
678;60000 - Gabinete da Vice-Presidência da República;2005;NA;NA;NA;NA
679;60000 - Gabinete da Vice-Presidência da República;2006;NA;NA;NA;NA
680;60000 - Gabinete da Vice-Presidência da República;2007;NA;NA;NA;NA
681;60000 - Gabinete da Vice-Presidência da República;2008;NA;NA;NA;NA
682;60000 - Gabinete da Vice-Presidência da República;2009;NA;NA;NA;NA
683;60000 - Gabinete da Vice-Presidência da República;2010;NA;NA;NA;NA
684;60000 - Gabinete da Vice-Presidência da República;2011;NA;NA;NA;NA
685;60000 - Gabinete da Vice-Presidência da República;2012;66667;0;66667;0
686;60000 - Gabinete da Vice-Presidência da República;2013;10289470;8125091;2,00E+05;87139
687;60000 - Gabinete da Vice-Presidência da República;2014;11010229;9030863;250000;187268
688;60000 - Gabinete da Vice-Presidência da República;2015;12315056;9963579;580000;86094
689;60000 - Gabinete da Vice-Presidência da República;2016;11168214;7326897;500260;3249
690;60000 - Gabinete da Vice-Presidência da República;2017;7013455;902506;168123;0
691;60000 - Gabinete da Vice-Presidência da República;2018;3660568;1220053;105621;0
692;60000 - Gabinete da Vice-Presidência da República;2019;19251155;14618158;785856;715817
693;60000 - Gabinete da Vice-Presidência da República;2020;16684566;12058768;1094250;407771
694;61000 - Secretaria de Assuntos Estratégicos;2000;NA;NA;NA;NA
695;61000 - Secretaria de Assuntos Estratégicos;2001;NA;NA;NA;NA
696;61000 - Secretaria de Assuntos Estratégicos;2002;NA;NA;NA;NA
697;61000 - Secretaria de Assuntos Estratégicos;2003;NA;NA;NA;NA
698;61000 - Secretaria de Assuntos Estratégicos;2004;NA;NA;NA;NA
699;61000 - Secretaria de Assuntos Estratégicos;2005;NA;NA;NA;NA
700;61000 - Secretaria de Assuntos Estratégicos;2006;NA;NA;NA;NA
701;61000 - Secretaria de Assuntos Estratégicos;2007;NA;NA;NA;NA
702;61000 - Secretaria de Assuntos Estratégicos;2008;NA;NA;NA;NA
703;61000 - Secretaria de Assuntos Estratégicos;2009;NA;NA;NA;NA
704;61000 - Secretaria de Assuntos Estratégicos;2010;NA;NA;NA;NA
705;61000 - Secretaria de Assuntos Estratégicos;2011;NA;NA;NA;NA
706;61000 - Secretaria de Assuntos Estratégicos;2012;1579334;0;1579334;0
707;61000 - Secretaria de Assuntos Estratégicos;2013;357389882;318693096;4188000;759194
708;61000 - Secretaria de Assuntos Estratégicos;2014;354456906;325768107;5987000;362647
709;61000 - Secretaria de Assuntos Estratégicos;2015;359657989;329529483;2117941;543568
710;61000 - Secretaria de Assuntos Estratégicos;2016;0;0;0;0
711;61000 - Secretaria de Assuntos Estratégicos;2017;NA;NA;NA;NA
712;61000 - Secretaria de Assuntos Estratégicos;2018;NA;NA;NA;NA
713;61000 - Secretaria de Assuntos Estratégicos;2019;NA;NA;NA;NA
714;61000 - Secretaria de Assuntos Estratégicos;2020;NA;NA;NA;NA
715;62000 - Secretaria de Aviação Civil;2000;NA;NA;NA;NA
716;62000 - Secretaria de Aviação Civil;2001;NA;NA;NA;NA
717;62000 - Secretaria de Aviação Civil;2002;NA;NA;NA;NA
718;62000 - Secretaria de Aviação Civil;2003;NA;NA;NA;NA
719;62000 - Secretaria de Aviação Civil;2004;NA;NA;NA;NA
720;62000 - Secretaria de Aviação Civil;2005;NA;NA;NA;NA
721;62000 - Secretaria de Aviação Civil;2006;NA;NA;NA;NA
722;62000 - Secretaria de Aviação Civil;2007;NA;NA;NA;NA
723;62000 - Secretaria de Aviação Civil;2008;NA;NA;NA;NA
724;62000 - Secretaria de Aviação Civil;2009;NA;NA;NA;NA
725;62000 - Secretaria de Aviação Civil;2010;NA;NA;NA;NA
726;62000 - Secretaria de Aviação Civil;2011;NA;NA;NA;NA
727;62000 - Secretaria de Aviação Civil;2012;753882426;0;196515760;0
728;62000 - Secretaria de Aviação Civil;2013;4243180194;1853506401;433475907;71521620
729;62000 - Secretaria de Aviação Civil;2014;4251072417;1873037918;704070693;101438389
730;62000 - Secretaria de Aviação Civil;2015;5535878014;2108566188;482033650;53184105
731;62000 - Secretaria de Aviação Civil;2016;19215236816;2421417962;217572028;16778145
732;62000 - Secretaria de Aviação Civil;2017;NA;NA;NA;NA
733;62000 - Secretaria de Aviação Civil;2018;NA;NA;NA;NA
734;62000 - Secretaria de Aviação Civil;2019;NA;NA;NA;NA
735;62000 - Secretaria de Aviação Civil;2020;NA;NA;NA;NA
736;63000 - Advocacia-Geral da União;2000;NA;NA;NA;NA
737;63000 - Advocacia-Geral da União;2001;NA;NA;NA;NA
738;63000 - Advocacia-Geral da União;2002;NA;NA;NA;NA
739;63000 - Advocacia-Geral da União;2003;NA;NA;NA;NA
740;63000 - Advocacia-Geral da União;2004;NA;NA;NA;NA
741;63000 - Advocacia-Geral da União;2005;NA;NA;NA;NA
742;63000 - Advocacia-Geral da União;2006;NA;NA;NA;NA
743;63000 - Advocacia-Geral da União;2007;NA;NA;NA;NA
744;63000 - Advocacia-Geral da União;2008;NA;NA;NA;NA
745;63000 - Advocacia-Geral da União;2009;NA;NA;NA;NA
746;63000 - Advocacia-Geral da União;2010;NA;NA;NA;NA
747;63000 - Advocacia-Geral da União;2011;NA;NA;NA;NA
748;63000 - Advocacia-Geral da União;2012;1429333;0;1429333;0
749;63000 - Advocacia-Geral da União;2013;2675202667;2562817187;5725600;1052660
750;63000 - Advocacia-Geral da União;2014;2870599245;2735599399;31600000;6556551
751;63000 - Advocacia-Geral da União;2015;3250639541;3049862399;72375680;458891
752;63000 - Advocacia-Geral da União;2016;3438675497;3330347653;10048329;273470
753;63000 - Advocacia-Geral da União;2017;3637802055;3503471125;23921897;690526
754;63000 - Advocacia-Geral da União;2018;3930824888;3497391752;21662069;1334246
755;63000 - Advocacia-Geral da União;2019;4066944825;3600634505;16821797;442511
756;63000 - Advocacia-Geral da União;2020;4075577557;3655138507;20754634;127484
757;64000 - Secretaria de Direitos Humanos;2000;NA;NA;NA;NA
758;64000 - Secretaria de Direitos Humanos;2001;NA;NA;NA;NA
759;64000 - Secretaria de Direitos Humanos;2002;NA;NA;NA;NA
760;64000 - Secretaria de Direitos Humanos;2003;NA;NA;NA;NA
761;64000 - Secretaria de Direitos Humanos;2004;NA;NA;NA;NA
762;64000 - Secretaria de Direitos Humanos;2005;NA;NA;NA;NA
763;64000 - Secretaria de Direitos Humanos;2006;NA;NA;NA;NA
764;64000 - Secretaria de Direitos Humanos;2007;NA;NA;NA;NA
765;64000 - Secretaria de Direitos Humanos;2008;NA;NA;NA;NA
766;64000 - Secretaria de Direitos Humanos;2009;NA;NA;NA;NA
767;64000 - Secretaria de Direitos Humanos;2010;NA;NA;NA;NA
768;64000 - Secretaria de Direitos Humanos;2011;NA;NA;NA;NA
769;64000 - Secretaria de Direitos Humanos;2012;24188278;0;24188278;0
770;64000 - Secretaria de Direitos Humanos;2013;366831151;99643344;122121919;1798658
771;64000 - Secretaria de Direitos Humanos;2014;325685270;113328342;126046503;14431340
772;64000 - Secretaria de Direitos Humanos;2015;407373624;89554840;182844380;647000
773;64000 - Secretaria de Direitos Humanos;2016;0;121682;0;0
774;64000 - Secretaria de Direitos Humanos;2017;NA;NA;NA;NA
775;64000 - Secretaria de Direitos Humanos;2018;NA;NA;NA;NA
776;64000 - Secretaria de Direitos Humanos;2019;NA;NA;NA;NA
777;64000 - Secretaria de Direitos Humanos;2020;NA;NA;NA;NA
778;65000 - Secretaria de Políticas para as Mulheres;2000;NA;NA;NA;NA
779;65000 - Secretaria de Políticas para as Mulheres;2001;NA;NA;NA;NA
780;65000 - Secretaria de Políticas para as Mulheres;2002;NA;NA;NA;NA
781;65000 - Secretaria de Políticas para as Mulheres;2003;NA;NA;NA;NA
782;65000 - Secretaria de Políticas para as Mulheres;2004;NA;NA;NA;NA
783;65000 - Secretaria de Políticas para as Mulheres;2005;NA;NA;NA;NA
784;65000 - Secretaria de Políticas para as Mulheres;2006;NA;NA;NA;NA
785;65000 - Secretaria de Políticas para as Mulheres;2007;NA;NA;NA;NA
786;65000 - Secretaria de Políticas para as Mulheres;2008;NA;NA;NA;NA
787;65000 - Secretaria de Políticas para as Mulheres;2009;NA;NA;NA;NA
788;65000 - Secretaria de Políticas para as Mulheres;2010;NA;NA;NA;NA
789;65000 - Secretaria de Políticas para as Mulheres;2011;NA;NA;NA;NA
790;65000 - Secretaria de Políticas para as Mulheres;2012;5981153;0;5981153;0
791;65000 - Secretaria de Políticas para as Mulheres;2013;208555722;46355668;84094460;15666849
792;65000 - Secretaria de Políticas para as Mulheres;2014;219229726;73099258;84846880;11690890
793;65000 - Secretaria de Políticas para as Mulheres;2015;266413888;71194340;109025905;18214493
794;65000 - Secretaria de Políticas para as Mulheres;2016;0;0;0;0
795;65000 - Secretaria de Políticas para as Mulheres;2017;NA;NA;NA;NA
796;65000 - Secretaria de Políticas para as Mulheres;2018;NA;NA;NA;NA
797;65000 - Secretaria de Políticas para as Mulheres;2019;NA;NA;NA;NA
798;65000 - Secretaria de Políticas para as Mulheres;2020;NA;NA;NA;NA
799;66000 - Controladoria-Geral da União;2000;NA;NA;NA;NA
800;66000 - Controladoria-Geral da União;2001;NA;NA;NA;NA
801;66000 - Controladoria-Geral da União;2002;NA;NA;NA;NA
802;66000 - Controladoria-Geral da União;2003;NA;NA;NA;NA
803;66000 - Controladoria-Geral da União;2004;NA;NA;NA;NA
804;66000 - Controladoria-Geral da União;2005;NA;NA;NA;NA
805;66000 - Controladoria-Geral da União;2006;NA;NA;NA;NA
806;66000 - Controladoria-Geral da União;2007;NA;NA;NA;NA
807;66000 - Controladoria-Geral da União;2008;NA;NA;NA;NA
808;66000 - Controladoria-Geral da União;2009;NA;NA;NA;NA
809;66000 - Controladoria-Geral da União;2010;NA;NA;NA;NA
810;66000 - Controladoria-Geral da União;2011;NA;NA;NA;NA
811;66000 - Controladoria-Geral da União;2012;6999919;0;6999919;0
812;66000 - Controladoria-Geral da União;2013;815962726;768466982;21576014;12499096
813;66000 - Controladoria-Geral da União;2014;848787129;814493214;12983391;3294109
814;66000 - Controladoria-Geral da União;2015;904573152;861686181;15653019;1965143
815;66000 - Controladoria-Geral da União;2016;934831353;891469655;16847496;3109760
816;66000 - Controladoria-Geral da União;2017;NA;NA;NA;NA
817;66000 - Controladoria-Geral da União;2018;NA;NA;NA;NA
818;66000 - Controladoria-Geral da União;2019;NA;NA;NA;NA
819;66000 - Controladoria-Geral da União;2020;NA;NA;NA;NA
820;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2000;NA;NA;NA;NA
821;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2001;NA;NA;NA;NA
822;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2002;NA;NA;NA;NA
823;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2003;NA;NA;NA;NA
824;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2004;NA;NA;NA;NA
825;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2005;NA;NA;NA;NA
826;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2006;NA;NA;NA;NA
827;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2007;NA;NA;NA;NA
828;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2008;NA;NA;NA;NA
829;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2009;NA;NA;NA;NA
830;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2010;NA;NA;NA;NA
831;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2011;NA;NA;NA;NA
832;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2012;730560;0;730560;0
833;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2013;56138942;26551931;7811536;489563
834;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2014;57718698;21350166;11693429;360802
835;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2015;76703049;17934068;13697069;14335
836;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2016;0;0;0;0
837;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2017;NA;NA;NA;NA
838;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2018;NA;NA;NA;NA
839;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2019;NA;NA;NA;NA
840;67000 - Secretaria de Políticas de Promoção da Igualdade Racial;2020;NA;NA;NA;NA
841;68000 - Secretaria de Portos;2000;NA;NA;NA;NA
842;68000 - Secretaria de Portos;2001;NA;NA;NA;NA
843;68000 - Secretaria de Portos;2002;NA;NA;NA;NA
844;68000 - Secretaria de Portos;2003;NA;NA;NA;NA
845;68000 - Secretaria de Portos;2004;NA;NA;NA;NA
846;68000 - Secretaria de Portos;2005;NA;NA;NA;NA
847;68000 - Secretaria de Portos;2006;NA;NA;NA;NA
848;68000 - Secretaria de Portos;2007;NA;NA;NA;NA
849;68000 - Secretaria de Portos;2008;NA;NA;NA;NA
850;68000 - Secretaria de Portos;2009;NA;NA;NA;NA
851;68000 - Secretaria de Portos;2010;NA;NA;NA;NA
852;68000 - Secretaria de Portos;2011;NA;NA;NA;NA
853;68000 - Secretaria de Portos;2012;615046339;0;311950001;0
854;68000 - Secretaria de Portos;2013;1079608270;183015094;341590831;1249439
855;68000 - Secretaria de Portos;2014;1523347041;216658040;567395552;30596842
856;68000 - Secretaria de Portos;2015;1119008932;284762007;454969974;3699739
857;68000 - Secretaria de Portos;2016;988446871;333181350;471413781;32171814
858;68000 - Secretaria de Portos;2017;NA;NA;NA;NA
859;68000 - Secretaria de Portos;2018;NA;NA;NA;NA
860;68000 - Secretaria de Portos;2019;NA;NA;NA;NA
861;68000 - Secretaria de Portos;2020;NA;NA;NA;NA
862;69000 - Secretaria da Micro e Pequena Empresa;2000;NA;NA;NA;NA
863;69000 - Secretaria da Micro e Pequena Empresa;2001;NA;NA;NA;NA
864;69000 - Secretaria da Micro e Pequena Empresa;2002;NA;NA;NA;NA
865;69000 - Secretaria da Micro e Pequena Empresa;2003;NA;NA;NA;NA
866;69000 - Secretaria da Micro e Pequena Empresa;2004;NA;NA;NA;NA
867;69000 - Secretaria da Micro e Pequena Empresa;2005;NA;NA;NA;NA
868;69000 - Secretaria da Micro e Pequena Empresa;2006;NA;NA;NA;NA
869;69000 - Secretaria da Micro e Pequena Empresa;2007;NA;NA;NA;NA
870;69000 - Secretaria da Micro e Pequena Empresa;2008;NA;NA;NA;NA
871;69000 - Secretaria da Micro e Pequena Empresa;2009;NA;NA;NA;NA
872;69000 - Secretaria da Micro e Pequena Empresa;2010;NA;NA;NA;NA
873;69000 - Secretaria da Micro e Pequena Empresa;2011;NA;NA;NA;NA
874;69000 - Secretaria da Micro e Pequena Empresa;2012;NA;NA;NA;NA
875;69000 - Secretaria da Micro e Pequena Empresa;2013;116547422;7604607;19595000;0
876;69000 - Secretaria da Micro e Pequena Empresa;2014;87152148;51403292;12866679;3838757
877;69000 - Secretaria da Micro e Pequena Empresa;2015;99057930;46435576;16690998;2391541
878;69000 - Secretaria da Micro e Pequena Empresa;2016;0;0;0;0
879;69000 - Secretaria da Micro e Pequena Empresa;2017;NA;NA;NA;NA
880;69000 - Secretaria da Micro e Pequena Empresa;2018;NA;NA;NA;NA
881;69000 - Secretaria da Micro e Pequena Empresa;2019;NA;NA;NA;NA
882;69000 - Secretaria da Micro e Pequena Empresa;2020;NA;NA;NA;NA
883;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2000;NA;NA;NA;NA
884;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2001;NA;NA;NA;NA
885;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2002;NA;NA;NA;NA
886;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2003;NA;NA;NA;NA
887;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2004;NA;NA;NA;NA
888;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2005;NA;NA;NA;NA
889;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2006;NA;NA;NA;NA
890;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2007;NA;NA;NA;NA
891;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2008;NA;NA;NA;NA
892;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2009;NA;NA;NA;NA
893;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2010;NA;NA;NA;NA
894;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2011;NA;NA;NA;NA
895;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2012;NA;NA;NA;NA
896;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2013;NA;NA;NA;NA
897;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2014;NA;NA;NA;NA
898;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2015;NA;NA;NA;NA
899;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2016;NA;NA;NA;NA
900;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2017;NA;NA;NA;NA
901;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2018;494208367;264092828;159099187;61921080
902;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2019;610446878;213271855;173293093;34360894
903;81000 - Ministério da Mulher, da Família e dos Direitos Humanos;2020;852839736;396766535;161534616;7122974
904;82000 - Ministério da Segurança Pública;2000;NA;NA;NA;NA
