Event name,url,Event date,Event type
Accra Climate Change Talks - August 2008,https://enb.iisd.org/events/accra-climate-change-talks-august-2008,21 August 2008 - 27 August 2008,Event
Bangkok Climate Change Talks - March/April 2008,https://enb.iisd.org/events/bangkok-climate-change-talks-marchapril-2008,31 March 2008 - 4 April 2008,Event
Bali Climate Change Conference - December 2007,https://enb.iisd.org/events/bali-climate-change-conference-december-2007,3 December 2007 - 15 December 2007,Conference of the Parties (COP)
Vienna Climate Change Talks - August 2007,https://enb.iisd.org/events/vienna-climate-change-talks-august-2007,27 August 2007 - 31 August 2007,Event
26th Sessions of the Subsidiary Bodies of the UNFCCC and Associated Meetings,https://enb.iisd.org/events/26th-sessions-subsidiary-bodies-unfccc-and-associated-meetings,7 May 2007 - 18 May 2007,Event
Nairobi Climate Change Conference – November 2006,https://enb.iisd.org/events/nairobi-climate-change-conference-november-2006,6 November 2006 - 17 November 2006,Conference of the Parties (COP)
24th Session of the UNFCCC Subsidiary Bodies and Associated Meetings,https://enb.iisd.org/events/24th-session-unfccc-subsidiary-bodies-and-associated-meetings,17 May 2006 - 26 May 2006,Event
UNFCCC COP 11,https://enb.iisd.org/events/unfccc-cop-11,28 November 2005 - 10 December 2005,Conference of the Parties (COP)
22nd Session of the UNFCCC Subsidiary Bodies (SB 22),https://enb.iisd.org/events/22nd-session-unfccc-subsidiary-bodies-sb-22,19 May 2005 - 27 May 2005,Event
UNFCCC COP 10,https://enb.iisd.org/events/unfccc-cop-10,6 December 2004 - 18 December 2004,Conference of the Parties (COP)
20th Session of the UNFCCC Subsidiary Bodies (SB 20),https://enb.iisd.org/events/20th-session-unfccc-subsidiary-bodies-sb-20,16 June 2004 - 25 June 2004,Event
"Workshop on ""Forests and Forest Ecosystems: Promoting Synergy in the Implementation of the Three Rio Conventions""",https://enb.iisd.org/events/workshop-forests-and-forest-ecosystems-promoting-synergy-implementation-three-rio,5 April 2004 - 7 April 2004,Event
UNFCCC COP 9,https://enb.iisd.org/events/unfccc-cop-9,1 December 2003 - 12 December 2003,Conference of the Parties (COP)
18th Session of the UNFCCC Subsidiary Bodies (SB 18),https://enb.iisd.org/events/18th-session-unfccc-subsidiary-bodies-sb-18,4 June 2003 - 13 June 2003,Event
UNFCCC COP 8,https://enb.iisd.org/events/unfccc-cop-8,23 October 2002 - 1 November 2002,Conference of the Parties (COP)
16th Session of the UNFCCC Subsidiary Bodies (SB 16),https://enb.iisd.org/events/16th-session-unfccc-subsidiary-bodies-sb-16,5 June 2002 - 14 June 2002,Event
UNFCCC COP 7,https://enb.iisd.org/events/unfccc-cop-7,29 October 2001 - 10 November 2001,Conference of the Parties (COP)
